Project,sha,class_,method,Found
ambari,016bff80edffd176e425eb4dc919d68039d1e5e3,org.apache.ambari.server.security.authorization.AmbariLdapAuthenticationProviderTest,testAuthenticate,1
ambari,07de9178a549244814baca54443176092ef1f08a,org.apache.ambari.server.agent.TestActionQueue,testConcurrentOperations,1
ambari,09d3156b0a4b76b7ba5f9021ae3a45803abe5619,org.apache.ambari.server.agent.TestActionQueue,testConcurrentOperations,1
ambari,0cc6f6057a28e3ff603f7fc9313cca315de1ea3e,org.apache.ambari.server.agent.TestHeartbeatMonitor,testHeartbeatStateCommandsEnqueueing,1
ambari,12be9a1a12958a3e890592a87f8b5a131b4c8a58,org.apache.ambari.server.agent.TestActionQueue,testConcurrentOperations,1
ambari,1491139ff5a94b5229833a9542b96f1567d49f64,org.apache.ambari.server.agent.TestActionQueue,testConcurrentOperations,1
ambari,17d0b2622f5ec51154a2207846a686f6f219ffe2,org.apache.ambari.server.agent.TestActionQueue,testConcurrentOperations,1
ambari,1eae6f9112bd3d57ce38e3dd369fd4f4ca9888e3,org.apache.ambari.server.agent.TestActionQueue,testConcurrentOperations,1
ambari,1efc30be0f10ab5960bea1318cb5a52451ccd69c,org.apache.ambari.server.agent.TestActionQueue,testConcurrentOperations,1
ambari,239a1176c12de794d934d38a3f3947139677200e,org.apache.ambari.server.security.authorization.AmbariLdapAuthenticationProviderTest,testAuthenticate,1
ambari,243173a338f0dbd805ca75daeaa93b9c276810a5,org.apache.ambari.server.agent.TestActionQueue,testConcurrentOperations,1
ambari,273b9c1e34d16590bb8adeaa8e38cac061e25ac3,org.apache.ambari.server.security.authorization.AmbariLdapAuthenticationProviderTest,testAuthenticate,1
ambari,2d1e9cfae9612f8f2bc8f7bcdbc065f840facc77,org.apache.ambari.server.agent.TestActionQueue,testConcurrentOperations,1
ambari,2f62c15c6a24a15fc090d4e6aed5c74a602be857,org.apache.ambari.server.agent.TestActionQueue,testConcurrentOperations,1
ambari,2f62c15c6a24a15fc090d4e6aed5c74a602be857,org.apache.ambari.server.security.authorization.AmbariLdapAuthenticationProviderTest,testAuthenticate,1
ambari,352df84fdb2c3a6b8b5a372233da8761ce206515,org.apache.ambari.server.security.authorization.AmbariLdapAuthenticationProviderTest,testAuthenticate,1
ambari,355c52d93de90142bd52455bb3fabea91c055e65,org.apache.ambari.server.agent.TestActionQueue,testConcurrentOperations,1
ambari,3efcc5323b817b8fad128904c88c386699234de1,org.apache.ambari.server.security.authorization.AmbariLdapAuthenticationProviderTest,testAuthenticate,1
ambari,400a37ab0b6636a5476461e731f43c085a5b8cfc,org.apache.ambari.server.security.authorization.AmbariLdapAuthenticationProviderTest,testAuthenticate,1
ambari,400a37ab0b6636a5476461e731f43c085a5b8cfc,org.apache.ambari.server.security.authorization.AmbariLdapAuthenticationProviderTest,testBadCredential,1
ambari,4b51d9a61177258483f88c6a531b10d340657683,org.apache.ambari.server.agent.TestActionQueue,testConcurrentOperations,1
ambari,4ea57553dc980d6b2527065d9f3325149be105b3,org.apache.ambari.server.agent.TestActionQueue,testConcurrentOperations,1
ambari,516a387916a84581b6f3271b41b2608dd02b1a07,org.apache.ambari.server.agent.TestActionQueue,testConcurrentOperations,1
ambari,54707c4965b0da9e2acd07e4675af07611b9a884,org.apache.ambari.server.agent.TestActionQueue,testConcurrentOperations,1
ambari,57644e90f2b8958540b7bf53469f3733f7b75736,org.apache.ambari.server.agent.TestActionQueue,testConcurrentOperations,1
ambari,5813b4adbd6aa3e32e53d05d543e8c5e9d6e6ef1,org.apache.ambari.server.agent.TestActionQueue,testConcurrentOperations,1
