token,project,flaky
 call testResourceGetPostParamGet POST MyJsonRestServlet GET HttpServletResponse param=true invoke assertEquals runTest ,oozie,1
"cluster createTable getClusterStatus hcd TEST_UTIL getRegionsInTransition  Table that splits like crazy getConfiguration htd setMaxFileSize info  Check that there's no region in flight, HBASE-2515 Expected TABLENAME LOG loadTable getRegionServerOperationQueue assertEquals list m registerRegionServerOperationListener  We disable the table during a split, we will end up here testDisableBetweenSplit ex t size setMemStoreFlushSize addFamily getHBaseCluster getHBaseAdmin getMaster FAMILYNAME ",hadoop,1
fail testSetMaxInvalid Assert setDefaultMaxPerRoute pool setMaxPerRoute IllegalArgumentException should have been thrown ,httpcore,0
" thinks that it is single rack assertSingleSwitch n1 n2 resolve l1 dumpTopology getSwitchMap conf unknown n1=/r1,n2=/r2 StaticMapping testReadNodesFromConfig get resolved info add mapping set switchMap LOG topology newInstance assertEquals setConf /r1 /r2 assertNull size NetworkTopology ",hadoop,0
hcatUri2  checkCoordAction CoordELFunctions hcatUri1 testUpdateCoordTableAdvanced addInitRecords getAvailableDependencyURIs partitionAvailable availableURIs assertTrue get CoordinatorAction mydb src=search;datastamp=11;region=us addMissingDependency newHCatDependency2  second partition available hcat://hcat.server.com:5080/mydb/clicks/datastamp=11;region=us newHCatDependency1 hcat.server.com:5080 assertEquals pdms call Services contains src=search;datastamp=12;region=us assertNull size actionId clicks getPartitionMap fullDeps hcat://hcat.server.com:5080/mydb/clicks/datastamp=12;region=us ,oozie,1
conn setRequestMethod IS_SECURITY_ENABLED testInstrumentation assertTrue json content-type /v1/admin/* Collections runTest JsonTags RestConstants openConnection containsKey HttpServletResponse assertEquals parse getInputStream url JSONValue call getHeaderField GET getResponseCode createURL startsWith ,oozie,1
add next ROW_1 QUALIFIER_1 ROW_2 ROW_3 ROW_4 assertEquals getRow testScanner put puts Bytes assertNull COLUMN_1 assertTrue assertNotNull equals remoteTable scanner VALUE_1 getScanner results close ,hadoop,1
 Wait until has some regions before proceeding.  Balancer will give it some. cluster  this test to succeed.  Start new regionserver. listener Running testKillRSWithOpeningRegion2482 TEST_UTIL assertRegionIsBackOnline  Add a listener on the server.  Make sure the abort server message was sent. getRegionServer sleep countOfMetaRegions Past close  Now wait for regions to come back online. unregisterRegionServerOperationListener closeAllNonCatalogRegions  Go close all non-catalog regions on this new server Past abort send; waiting on all regions to redeploy info minimumRegions LOG getOnlineRegions Started new regionserver:  getRegionServerThreads hrs getRegionServerOperationQueue  Need at least two servers.  Set the listener only after some regions have been opened on new server. m registerRegionServerOperationListener Threads getLiveRegionServerThreads  wait on all regions back online. testKillRSWithOpeningRegion2482 size getHBaseCluster HMsg  come in. startRegionServer toString getMaster addMessageToSendRegionServer ,hadoop,1
" Check for resolved conf /2009/22/ eAction getTestCaseDir property action createActionElement elementList  push deps are not met dryRunCoord printStackTrace workflow populateTable getChild parseXml testDryRunPullAndPushDeps /2009/15/ getPullMissingDependencies testDir hcatDependency fail CoordinatorJob getChildren getNamespace file://,testDir/2009/29 CoordCommandUtils job addRecordToCoordJobTableForWaiting setPushMissingDependencies configuration  Make only pull dependencies available ${coord:dataIn('A')} appPath createCoordinatorActionBean actionXml sleep coord default coord-action-for-action-input-check.xml /2009/08/ get createDir coord-job-for-matd-hcat.xml tablename value actionBean table missDeps XmlUtils e newactionXml getMessage assertEquals e1 setMissingDependencies e2 ${coord:dataOut('LOCAL_A')} getValue /2009/29/ configElem file://,testDir/2009/29,file://,testDir/2009/22,file://,testDir/2009/15,file://,testDir/2009/08 getPushMissingDependencies getCoordActionXml  actionXml only to check whether coord conf got resolved or not db getFsTestCaseDir ",oozie,1
resume END_POINTS RestConstants IS_SECURITY_ENABLED getContextURL oozieUrl MockDagEngineService conf assertEquals wc testResume call OozieClient 1 setProperty createConfiguration SERVLET_CLASSES runTest ,oozie,1
setAppName getMessage iae testConstructor <workflow></workflow> Construction with illegal args failed as expected:  My Test App Assert assertTrue assertNotNull jsonWFJob My Test ID setId ,oozie,1
getName set hdfs://foo:12345/ GenericTestUtils conf Did not fail with fake FS getFileSystem .foo p fail does not use port information assertExceptionContains exists testLogicalUriShouldNotHavePorts DFS_CLIENT_FAILOVER_PROXY_PROVIDER_KEY_PREFIX ioe ,hadoop,1
