Project,sha,class_,method
dropwizard,01124252c3c86241eebf16f3a3d8989a2bc24e0f,io.dropwizard.server.DefaultServerFactoryTest,testGracefulShutdown
dropwizard,0127c18e84e0cb509c47facabb2e639694630035,io.dropwizard.server.DefaultServerFactoryTest,testGracefulShutdown
dropwizard,02a8807691863629063d4c98ba129453e2290493,io.dropwizard.server.DefaultServerFactoryTest,testGracefulShutdown
dropwizard,030f2a27f178da2a2ba6b96800c1d182d2fe8ed1,io.dropwizard.server.DefaultServerFactoryTest,testGracefulShutdown
dropwizard,04770d78c58b2d8be597be5d70001f9abfb57b69,io.dropwizard.server.DefaultServerFactoryTest,testGracefulShutdown
dropwizard,06e9a425a82a311ec84b7cc7162262c7ebad67f8,io.dropwizard.server.DefaultServerFactoryTest,testGracefulShutdown
dropwizard,0767a11dae9393bb9da7cdb8329777b6ca56d8c9,io.dropwizard.server.DefaultServerFactoryTest,testGracefulShutdown
dropwizard,084e6406b070489a7a02ec815f99b6bd39d22d52,io.dropwizard.server.DefaultServerFactoryTest,testGracefulShutdown
dropwizard,0a3127ade5061fb935f5e347dab7647fc5a1113b,io.dropwizard.server.DefaultServerFactoryTest,testGracefulShutdown
dropwizard,0c45216eb8e721ea5f9434209e79487be9c67478,io.dropwizard.server.DefaultServerFactoryTest,testGracefulShutdown
dropwizard,1470ed83c5545e01ad2e59d5b666cbbbf4f5592a,io.dropwizard.server.DefaultServerFactoryTest,testGracefulShutdown
dropwizard,1b9e2e5f754e2a5e0f4d62d23908a02d877928cd,io.dropwizard.server.DefaultServerFactoryTest,testGracefulShutdown
dropwizard,1c4a09182b22761636eb45343521614bd2054426,io.dropwizard.server.DefaultServerFactoryTest,testGracefulShutdown
dropwizard,21af1a9be4c7165265e68b32f383695e5419ba21,io.dropwizard.server.DefaultServerFactoryTest,testGracefulShutdown
dropwizard,2200d6b1a9eeaa7e7606e93ce1398b925a6dd142,io.dropwizard.server.DefaultServerFactoryTest,testGracefulShutdown
dropwizard,233875d65dbbe4f4e2bdfa3fa68395f050e2c2df,io.dropwizard.server.DefaultServerFactoryTest,testGracefulShutdown
dropwizard,25fdd060ca365020884e28fa059110e07f23a7f7,io.dropwizard.server.DefaultServerFactoryTest,testGracefulShutdown
dropwizard,2948c4259d292bb719b0d13a834145e46c97e351,io.dropwizard.server.DefaultServerFactoryTest,testGracefulShutdown
dropwizard,44c31e901d53759d2b412ba52fff5c7470b178f4,io.dropwizard.server.DefaultServerFactoryTest,testGracefulShutdown
dropwizard,4631a5588f6aed68af4462503870d95ada2fab52,io.dropwizard.server.DefaultServerFactoryTest,testGracefulShutdown
dropwizard,48133c206d3d70e0637fcd08fafb6be5530deceb,io.dropwizard.server.DefaultServerFactoryTest,testGracefulShutdown
dropwizard,4e3a76e8706c358a556a3b1bf5fad73e3d7c1c3b,io.dropwizard.server.DefaultServerFactoryTest,testGracefulShutdown
dropwizard,511005e48c72b420244135f0f8f1fc49e441abd4,io.dropwizard.server.DefaultServerFactoryTest,testGracefulShutdown
dropwizard,5a0bbce72717bf4f97cd1284644495cd2b08e658,io.dropwizard.server.DefaultServerFactoryTest,testGracefulShutdown
dropwizard,5d2b8c9d142115309314d538635101cb3a78854c,io.dropwizard.server.DefaultServerFactoryTest,testGracefulShutdown
dropwizard,609d55f66b8a2b54cff578577a4572695ab29480,io.dropwizard.server.DefaultServerFactoryTest,testGracefulShutdown
dropwizard,63042d701d10707b51e50ccefa96f30b195de239,io.dropwizard.server.DefaultServerFactoryTest,testGracefulShutdown
dropwizard,63a1470f64196791371c844ab1b8e1f6ce49bfc6,io.dropwizard.server.DefaultServerFactoryTest,testGracefulShutdown
dropwizard,6af5f351282b773e2ad2f31c8939cdf8c8e6759b,io.dropwizard.server.DefaultServerFactoryTest,testGracefulShutdown
dropwizard,6bc4620fffc881063c6441dad40311ac1d9b9a74,io.dropwizard.server.DefaultServerFactoryTest,testGracefulShutdown
dropwizard,6c47599a1aede063759cb904377745f1672a7bdf,io.dropwizard.server.DefaultServerFactoryTest,testGracefulShutdown
dropwizard,6cb01589eec38c2cf01c08bf77e1e7c7c43f37a7,io.dropwizard.server.DefaultServerFactoryTest,testGracefulShutdown
dropwizard,71ca2d4b0b3e9e69c736450061ca917c6bb20085,io.dropwizard.server.DefaultServerFactoryTest,testGracefulShutdown
dropwizard,76b7b206fdd5da8356cd779664761d6d5d93827e,io.dropwizard.server.DefaultServerFactoryTest,testGracefulShutdown
dropwizard,7a8d2325f447f116c269721cc8a724a41ceab6d6,io.dropwizard.server.DefaultServerFactoryTest,testGracefulShutdown
dropwizard,7ff25da7a706b1c4224eab83442fabaf8bb59c88,io.dropwizard.server.DefaultServerFactoryTest,testGracefulShutdown
dropwizard,8270d51653c676e577288c1dc7598f023234b16a,io.dropwizard.server.DefaultServerFactoryTest,testGracefulShutdown
dropwizard,84a2054cd6ea2d67233a9aa77f83cb4b2f17795e,io.dropwizard.server.DefaultServerFactoryTest,testGracefulShutdown
dropwizard,8f57539fcf12e6433fe981d23b86e3b99952a66f,io.dropwizard.server.DefaultServerFactoryTest,testGracefulShutdown
dropwizard,915800e7e08174ea3cfed13510854752040fe50a,io.dropwizard.server.DefaultServerFactoryTest,testGracefulShutdown
dropwizard,92208eb10e70c6c35f0f87219b8cd1c42f268638,io.dropwizard.server.DefaultServerFactoryTest,testGracefulShutdown
dropwizard,94901c4c4cdc5b3937f8ab15ac272ab54a9639bf,io.dropwizard.server.DefaultServerFactoryTest,testGracefulShutdown
dropwizard,9574504d10fb29b14f980f3b46f34de3d8a46ce7,io.dropwizard.server.DefaultServerFactoryTest,testGracefulShutdown
dropwizard,9bc69b52a401cc1f480630662a819bd0902749ec,io.dropwizard.server.DefaultServerFactoryTest,testGracefulShutdown
dropwizard,9d542c69cbc0396e8427ff1dece01e692aefbfbd,io.dropwizard.server.DefaultServerFactoryTest,testGracefulShutdown
dropwizard,a57d107cffa2ca32b2aeeab52519f3c696416308,io.dropwizard.server.DefaultServerFactoryTest,testGracefulShutdown
dropwizard,aaba7b26ae90583d2bbc7487831038b951af8dce,io.dropwizard.server.DefaultServerFactoryTest,testGracefulShutdown
dropwizard,b32e48ede517797330be4e9f1057f8d324ba3ff0,io.dropwizard.server.DefaultServerFactoryTest,testGracefulShutdown
dropwizard,bac913634bfb5da371333f636963827d9ed7f7f1,io.dropwizard.server.DefaultServerFactoryTest,testGracefulShutdown
dropwizard,c0f22a0d78b23e0dedfc8bc763f19b701471a94e,io.dropwizard.server.DefaultServerFactoryTest,testGracefulShutdown
dropwizard,c259e37efde0157e7ca673b696d974fb077d7fc3,io.dropwizard.server.DefaultServerFactoryTest,testGracefulShutdown
dropwizard,c4b3ad27349c6a26dc3e0d3c89a119617af3f7bb,io.dropwizard.server.DefaultServerFactoryTest,testGracefulShutdown
dropwizard,d067503f90f591341b0b56ffa3c954b3f60fca03,io.dropwizard.server.DefaultServerFactoryTest,testGracefulShutdown
dropwizard,d4f9ee341abf0ddce40c24642c6a93be4f45ff9e,io.dropwizard.server.DefaultServerFactoryTest,testGracefulShutdown
dropwizard,d78652889c06ffafbe56b0b6052803f15c752a6b,io.dropwizard.server.DefaultServerFactoryTest,testGracefulShutdown
dropwizard,e7eeb37c1b0595ed8cb2eec9649b9a6f790f88a2,io.dropwizard.server.DefaultServerFactoryTest,testGracefulShutdown
dropwizard,eb25175b60e0dedf3155bff10d22f09294ffae7b,io.dropwizard.server.DefaultServerFactoryTest,testGracefulShutdown
dropwizard,f6202ec0a7087f04e3a34ac2c85aeb892e499630,io.dropwizard.server.DefaultServerFactoryTest,testGracefulShutdown
dropwizard,f62f824394adde77036acd26c12af325b7eaa78f,io.dropwizard.server.DefaultServerFactoryTest,testGracefulShutdown
dropwizard,fbcefe3e2d38dba72a6f450f6f832d77533ebe73,io.dropwizard.server.DefaultServerFactoryTest,testGracefulShutdown
