Project,sha,class_,method
hadoop,029d86e1aaab2d1039b4cc94ba10c27bf28cd01f,org.apache.hadoop.hdfs.TestFileAppend4,testCompleteOtherLeaseHoldersFile
hadoop,029d86e1aaab2d1039b4cc94ba10c27bf28cd01f,org.apache.hadoop.hdfs.TestFileAppend4,testRecoverFinalizedBlock
hadoop,02d5fa3e6265025912223e07d1bb5aac9eac0dc9,org.apache.hadoop.hdfs.TestClientBlockVerification,testBlockVerification
hadoop,02d5fa3e6265025912223e07d1bb5aac9eac0dc9,org.apache.hadoop.hdfs.TestClientReportBadBlock,testCorruptAllOfThreeReplicas
hadoop,02d5fa3e6265025912223e07d1bb5aac9eac0dc9,org.apache.hadoop.hdfs.TestClientReportBadBlock,testCorruptTwoOutOfThreeReplicas
hadoop,02d5fa3e6265025912223e07d1bb5aac9eac0dc9,org.apache.hadoop.hdfs.TestClientReportBadBlock,testOneBlockReplica
hadoop,02d5fa3e6265025912223e07d1bb5aac9eac0dc9,org.apache.hadoop.hdfs.TestDistributedFileSystem,testDFSClient
hadoop,03659985a01977c9743d75d80ae4e87e44d7ce8d,org.apache.hadoop.hdfs.TestFileCreation,testDeleteOnExit
hadoop,03659985a01977c9743d75d80ae4e87e44d7ce8d,org.apache.hadoop.hdfs.TestFileCreation,testFileCreation
hadoop,03659985a01977c9743d75d80ae4e87e44d7ce8d,org.apache.hadoop.hdfs.TestFileCreation,testLeaseExpireHardLimit
hadoop,03659985a01977c9743d75d80ae4e87e44d7ce8d,org.apache.hadoop.hdfs.TestFileCreation,testServerDefaults
hadoop,03659985a01977c9743d75d80ae4e87e44d7ce8d,org.apache.hadoop.hdfs.TestListFilesInFileContext,testFile
hadoop,03659985a01977c9743d75d80ae4e87e44d7ce8d,org.apache.hadoop.hdfs.TestReadWhileWriting,pipeline_02_03
hadoop,03659985a01977c9743d75d80ae4e87e44d7ce8d,org.apache.hadoop.io.TestWritableName,testAddName
hadoop,03659985a01977c9743d75d80ae4e87e44d7ce8d,org.apache.hadoop.io.retry.TestFailoverProxy,testConcurrentMethodFailures
hadoop,03659985a01977c9743d75d80ae4e87e44d7ce8d,org.apache.hadoop.security.TestDoAsEffectiveUser,testRealUserAuthorizationSuccess
hadoop,03659985a01977c9743d75d80ae4e87e44d7ce8d,org.apache.hadoop.security.TestDoAsEffectiveUser,testRealUserSetup
hadoop,03659985a01977c9743d75d80ae4e87e44d7ce8d,org.apache.hadoop.util.TestShell,testShellCommandTimerLeak
hadoop,037964f45cca200112caf3b76e0e9df4beaa3bcc,org.apache.hadoop.hdfs.TestHFlush,hFlush_01
hadoop,037964f45cca200112caf3b76e0e9df4beaa3bcc,org.apache.hadoop.hdfs.TestHFlush,hFlush_02
hadoop,037964f45cca200112caf3b76e0e9df4beaa3bcc,org.apache.hadoop.hdfs.TestHFlush,hFlush_03
hadoop,037964f45cca200112caf3b76e0e9df4beaa3bcc,org.apache.hadoop.hdfs.TestHFlush,testHFlushInterrupted
hadoop,037964f45cca200112caf3b76e0e9df4beaa3bcc,org.apache.hadoop.hdfs.TestHFlush,testPipelineHeartbeat
hadoop,037964f45cca200112caf3b76e0e9df4beaa3bcc,org.apache.hadoop.hdfs.TestSetTimes,testTimes
hadoop,037964f45cca200112caf3b76e0e9df4beaa3bcc,org.apache.hadoop.hdfs.TestSetTimes,testTimesAtClose
hadoop,062876bed726e3921d5585825b49749253c04497,org.apache.hadoop.hdfs.TestDFSClientRetries,testDFSClientRetriesOnBusyBlocks
hadoop,062876bed726e3921d5585825b49749253c04497,org.apache.hadoop.hdfs.TestDFSClientRetries,testFailuresArePerOperation
hadoop,062876bed726e3921d5585825b49749253c04497,org.apache.hadoop.hdfs.TestDFSClientRetries,testGetFileChecksum
hadoop,062876bed726e3921d5585825b49749253c04497,org.apache.hadoop.hdfs.TestDFSClientRetries,testWriteTimeoutAtDataNode
hadoop,062876bed726e3921d5585825b49749253c04497,org.apache.hadoop.hdfs.TestWriteConfigurationToDFS,testWriteConf
hadoop,062876bed726e3921d5585825b49749253c04497,org.apache.hadoop.security.TestDoAsEffectiveUser,testRealUserAuthorizationSuccess
hadoop,062876bed726e3921d5585825b49749253c04497,org.apache.hadoop.security.TestDoAsEffectiveUser,testRealUserSetup
