Project,sha,class_,method
jimfs,000b15db7abe764d97430e00fde29c28452be96d,com.google.jimfs.internal.JimfsFileChannelTest,testCloseByInterrupt
jimfs,0b58f1bf262ae689918cf3418efe5969a1f8dd1d,com.google.jimfs.internal.JimfsFileChannelTest,testCloseByInterrupt
jimfs,2b16ca2f28b55c62c25b0d0ff6d23e8a74ba56ce,com.google.jimfs.internal.PollingWatchServiceTest,testWatchForMultipleEventTypes
jimfs,2b304c6c9b9acc86874156be1063efc46787f4d6,com.google.jimfs.JimfsAsynchronousFileChannelTest,testAsyncClose_read
jimfs,349a1e3d26c74faa8f8c99ad43fba115011162c8,com.google.jimfs.internal.JimfsAsynchronousFileChannelTest,testAsyncClose_write
jimfs,3abd95a268ae109c9a132377030d0911d2f0fb37,com.google.jimfs.internal.JimfsFileChannelTest,testCloseByInterrupt
jimfs,438cf28d7e7e72a19ed5568ca8a39a628347fa41,com.google.jimfs.internal.JimfsFileChannelTest,testCloseByInterrupt
jimfs,4424521158fb61f7f0044fcfb968e0a1490484d3,com.google.jimfs.internal.JimfsFileChannelTest,testAsynchronousClose
jimfs,62c0db7a7d057f4ace1a57fc002eba194e522bce,com.google.jimfs.internal.JimfsFileChannelTest,testAsynchronousClose
jimfs,80a99d31a4d65ebd583c40255474bfa481ca0ff6,com.google.jimfs.internal.JimfsAsynchronousFileChannelTest,testAsyncClose_write
jimfs,99ea097a9f68349c4d0ba233f0a6f3b1e736ba7b,com.google.jimfs.internal.PollingWatchServiceTest,testWatchForMultipleEventTypes
jimfs,b54ed4768c494acfc43a562aac2b889350823612,com.google.jimfs.internal.PollingWatchServiceTest,testWatchForMultipleEventTypes
jimfs,b5c378fa829cc42970841de3774181aa6822de09,com.google.jimfs.JimfsAsynchronousFileChannelTest,testAsyncClose_read
jimfs,b5c378fa829cc42970841de3774181aa6822de09,com.google.jimfs.PollingWatchServiceTest,testWatchForMultipleEventTypes
jimfs,b5f9a54e83434f697e0910d37e9617e1dd6720bd,com.google.jimfs.internal.JimfsAsynchronousFileChannelTest,testAsyncClose_read
jimfs,bf9c938a99723877552a04c2aac155882c176b8c,com.google.jimfs.internal.JimfsAsynchronousFileChannelTest,testAsyncClose_read
jimfs,c8d06404ce478c31bab4aa6f25166e08ab57d3f7,com.google.jimfs.internal.JimfsAsynchronousFileChannelTest,testAsyncClose_read
jimfs,c8d06404ce478c31bab4aa6f25166e08ab57d3f7,com.google.jimfs.internal.JimfsAsynchronousFileChannelTest,testAsyncClose_write
jimfs,d640ee8adf258219b1b21dad3e3aa6498b3da69e,com.google.jimfs.JimfsAsynchronousFileChannelTest,testAsyncClose_read
jimfs,fbf304ef9758cdbf905bfba54ba4db711214342f,com.google.jimfs.internal.JimfsAsynchronousFileChannelTest,testAsyncClose_read
jimfs,fea1036820f5aafcd778c4e6b3918cd5b173d596,com.google.jimfs.internal.JimfsAsynchronousFileChannelTest,testAsyncClose_write
