Project,sha,class_,method
ninja,00532264cae2d912aa595596aa52d27761328255,controllers.ApiControllerDocTest,testGetAndPostArticleViaJson
ninja,00532264cae2d912aa595596aa52d27761328255,controllers.ApiControllerTest,testGetAndPostArticleViaJson
ninja,00532264cae2d912aa595596aa52d27761328255,controllers.ApiControllerTest,testGetAndPostArticleViaXml
ninja,00532264cae2d912aa595596aa52d27761328255,controllers.ApplicationControllerTest,testThatSetupInitializationCreatesTheTestUsers
ninja,03d71eaaa2a20ff759d8f0c21a44a0f2990b8777,controllers.ApiControllerDocTesterTest,testGetAndPostArticleViaJson
ninja,0b3aa4dbf20d444841ebea229c8031b5b431ef52,controllers.ApplicationControllerTest,testThatHomepageWorks
ninja,0f28e024199abe59769434c46c312adeef2fe326,controllers.ApplicationControllerTest,testThatHomepageWorks
ninja,1058f0352bab1b9eb5bf16507562068f82e4c628,controllers.ApplicationControllerTest,testThatHomepageWorks
ninja,1158fcd3b3887da37a4fb793f15b78f3090a3ddb,controllers.ApplicationControllerTest,testThatHomepageWorks
ninja,28d0b5f692d1e73e62ff9556d2dea1e4560d6bc7,conf.RoutesTest,testReverseRoutingWithArrayAndWrongAmountOfQueryParameters
ninja,28d0b5f692d1e73e62ff9556d2dea1e4560d6bc7,conf.RoutesTest,testReverseRoutingWithMap
ninja,28d0b5f692d1e73e62ff9556d2dea1e4560d6bc7,conf.RoutesTest,testReverseRoutingWithoutMap
ninja,28d0b5f692d1e73e62ff9556d2dea1e4560d6bc7,conf.RoutesTest,testRoutes
ninja,28d0b5f692d1e73e62ff9556d2dea1e4560d6bc7,conf.RoutesTest,testTestRoutesAreHiddenFromProduction
ninja,28d0b5f692d1e73e62ff9556d2dea1e4560d6bc7,controllers.ApiControllerDocTest,testGetAndPostArticleViaJson
ninja,28d0b5f692d1e73e62ff9556d2dea1e4560d6bc7,controllers.ApiControllerDocTesterTest,testGetAndPostArticleViaJson
ninja,28d0b5f692d1e73e62ff9556d2dea1e4560d6bc7,controllers.ApiControllerTest,testGetAndPostArticleViaJson
ninja,28d0b5f692d1e73e62ff9556d2dea1e4560d6bc7,controllers.ApiControllerTest,testGetAndPostArticleViaXml
ninja,28d0b5f692d1e73e62ff9556d2dea1e4560d6bc7,controllers.ApplicationControllerFluentLeniumTest,testThatHomepageWorks
ninja,28d0b5f692d1e73e62ff9556d2dea1e4560d6bc7,controllers.AssetsControllerTest,testThatAssetsWork
ninja,28d0b5f692d1e73e62ff9556d2dea1e4560d6bc7,controllers.AssetsControllerTest,testThatMetaInfIntegrationWorks
ninja,28d0b5f692d1e73e62ff9556d2dea1e4560d6bc7,controllers.AssetsControllerTest,testThatSettingOfMimeTypeWorks
ninja,28d0b5f692d1e73e62ff9556d2dea1e4560d6bc7,controllers.AssetsControllerTest,testThatStaticAssetsDoNotSetNinjaCookies
