Project,sha,class_,method
togglz,14dcc2af9fd17a34a0cc09260a57cd4ec3e08c77,org.togglz.zookeeper.ZookeeperStateRepositoryTest,testZkNodeChangesUpdateFeatureState
togglz,25aa3f7156c22f70447851ac706de4c6ad53d7b0,org.togglz.core.activation.SystemPropertyActivationStrategyTest,shouldBeFalseIfPropertyDoesNotExist
togglz,27b71b6ac15849a51cc53f9373a5b40162b9c743,org.togglz.core.activation.SystemPropertyActivationStrategyTest,shouldBeFalseIfPropertyDoesNotExist
togglz,3ad266a54dd2dbe0bdb198fd14d8159fccb4cb26,org.togglz.cdi.container.ManagedFeatureManagerTest,containerManagedFeatureManagerShouldBeUsedIfAvailable
togglz,3ad266a54dd2dbe0bdb198fd14d8159fccb4cb26,org.togglz.cdi.test.CDIBasicOperationTest,testCDIBasicFeatures
togglz,3ad266a54dd2dbe0bdb198fd14d8159fccb4cb26,org.togglz.guice.GuiceIntegrationTest,testGuiceIntegration
togglz,3ad266a54dd2dbe0bdb198fd14d8159fccb4cb26,org.togglz.jsf.test.map.JSFMapTest,testJSFFeatureMap
togglz,3ad266a54dd2dbe0bdb198fd14d8159fccb4cb26,org.togglz.servlet.test.basic.ServletBasicOperationTest,testSerlvetBasicFeatures
togglz,3ad266a54dd2dbe0bdb198fd14d8159fccb4cb26,org.togglz.servlet.test.repository.cache.CacheRepositoryTest,testCachingOfFeatureState
togglz,3ad266a54dd2dbe0bdb198fd14d8159fccb4cb26,org.togglz.servlet.test.repository.jdbc.JDBCRepositoryTest,testGetFeatureStateFromJDBCRepository
togglz,3ad266a54dd2dbe0bdb198fd14d8159fccb4cb26,org.togglz.servlet.test.user.thread.ThreadBasedUsersTest,testDisabledForAllUsers
togglz,3ad266a54dd2dbe0bdb198fd14d8159fccb4cb26,org.togglz.servlet.test.util.HttpServletRequestHolderTest,testRequestIsBoundToHolder
togglz,3ad266a54dd2dbe0bdb198fd14d8159fccb4cb26,org.togglz.shiro.test.ShiroUsersTest,testShiroLoginAsFeatureAdmin
togglz,3ad266a54dd2dbe0bdb198fd14d8159fccb4cb26,org.togglz.spring.test.SpringBasicOperationTest,testSpringBasicFeatures
togglz,3ad266a54dd2dbe0bdb198fd14d8159fccb4cb26,org.togglz.spring.test.SpringEarlyFeatureUsageTest,testEarlyFeatureUsage
togglz,3ad266a54dd2dbe0bdb198fd14d8159fccb4cb26,org.togglz.spring.test.container.ManagedFeatureManagerTest,containerManagedFeatureManagerShouldBeUsedIfAvailable
togglz,3ad266a54dd2dbe0bdb198fd14d8159fccb4cb26,org.togglz.spring.test.proxy.FeatureProxyTest,testProxyWithAutoDetectedProxyType
togglz,5c23d0aaf3371b750f3dd90ef82b9de79993757e,org.togglz.core.activation.SystemPropertyActivationStrategyTest,shouldBeFalseIfPropertyDoesNotExist
togglz,84cbb08a9eaf2cb3a7688db02a06da62af0b8269,org.togglz.cassandra.CassandraStateRepositoryTest,testActivationStrategySavingAndLoading
togglz,84cbb08a9eaf2cb3a7688db02a06da62af0b8269,org.togglz.cassandra.CassandraStateRepositoryTest,testAutomaticCreationOfColumnFamily
togglz,84cbb08a9eaf2cb3a7688db02a06da62af0b8269,org.togglz.cassandra.CassandraStateRepositoryTest,testEnabledStateSavingAndLoading
togglz,84cbb08a9eaf2cb3a7688db02a06da62af0b8269,org.togglz.cassandra.CassandraStateRepositoryTest,testFeatureSavingAndLoading
togglz,84cbb08a9eaf2cb3a7688db02a06da62af0b8269,org.togglz.cassandra.CassandraStateRepositoryTest,testRemovingOfActivationStrategy
togglz,99aca86439368160f442d7ecae6fc8a6f39e8873,org.togglz.core.activation.SystemPropertyActivationStrategyTest,shouldBeFalseIfPropertyDoesNotExist
togglz,b5c78e2972532d700f5bcb0e66dcc8718678c707,org.togglz.core.activation.SystemPropertyActivationStrategyTest,shouldBeFalseIfPropertyDoesNotExist
togglz,c759f6a275d3eb2530d00e9ab03e3405a26807f1,org.togglz.core.activation.SystemPropertyActivationStrategyTest,shouldBeFalseIfPropertyDoesNotExist
togglz,e400470fa98bb8fa832d379af8c62160cbf8814f,org.togglz.core.activation.SystemPropertyActivationStrategyTest,shouldBeFalseIfPropertyDoesNotExist
togglz,e7c7fa01edbb5e52003d7722eaf024e19a5d2a1f,org.togglz.zookeeper.ZookeeperStateRepositoryTest,testZkNodeChangesUpdateFeatureState
