Project,sha,class_,method,Found
hadoop,029d86e1aaab2d1039b4cc94ba10c27bf28cd01f,org.apache.hadoop.hdfs.TestFileAppend4,testCompleteOtherLeaseHoldersFile,1
hadoop,029d86e1aaab2d1039b4cc94ba10c27bf28cd01f,org.apache.hadoop.hdfs.TestFileAppend4,testRecoverFinalizedBlock,1
hadoop,02d5fa3e6265025912223e07d1bb5aac9eac0dc9,org.apache.hadoop.hdfs.TestClientBlockVerification,testBlockVerification,2
hadoop,02d5fa3e6265025912223e07d1bb5aac9eac0dc9,org.apache.hadoop.hdfs.TestClientReportBadBlock,testCorruptAllOfThreeReplicas,1
hadoop,02d5fa3e6265025912223e07d1bb5aac9eac0dc9,org.apache.hadoop.hdfs.TestClientReportBadBlock,testCorruptTwoOutOfThreeReplicas,1
hadoop,02d5fa3e6265025912223e07d1bb5aac9eac0dc9,org.apache.hadoop.hdfs.TestClientReportBadBlock,testOneBlockReplica,1
hadoop,02d5fa3e6265025912223e07d1bb5aac9eac0dc9,org.apache.hadoop.hdfs.TestDistributedFileSystem,testDFSClient,1
hadoop,03659985a01977c9743d75d80ae4e87e44d7ce8d,org.apache.hadoop.hdfs.TestFileCreation,testDeleteOnExit,1
hadoop,03659985a01977c9743d75d80ae4e87e44d7ce8d,org.apache.hadoop.hdfs.TestFileCreation,testFileCreation,1
hadoop,03659985a01977c9743d75d80ae4e87e44d7ce8d,org.apache.hadoop.hdfs.TestFileCreation,testLeaseExpireHardLimit,1
hadoop,03659985a01977c9743d75d80ae4e87e44d7ce8d,org.apache.hadoop.hdfs.TestFileCreation,testServerDefaults,1
hadoop,03659985a01977c9743d75d80ae4e87e44d7ce8d,org.apache.hadoop.hdfs.TestListFilesInFileContext,testFile,1
hadoop,03659985a01977c9743d75d80ae4e87e44d7ce8d,org.apache.hadoop.hdfs.TestReadWhileWriting,pipeline_02_03,1
hadoop,03659985a01977c9743d75d80ae4e87e44d7ce8d,org.apache.hadoop.io.TestWritableName,testAddName,1
hadoop,03659985a01977c9743d75d80ae4e87e44d7ce8d,org.apache.hadoop.io.retry.TestFailoverProxy,testConcurrentMethodFailures,1
hadoop,03659985a01977c9743d75d80ae4e87e44d7ce8d,org.apache.hadoop.security.TestDoAsEffectiveUser,testRealUserAuthorizationSuccess,1
hadoop,03659985a01977c9743d75d80ae4e87e44d7ce8d,org.apache.hadoop.security.TestDoAsEffectiveUser,testRealUserSetup,1
hadoop,03659985a01977c9743d75d80ae4e87e44d7ce8d,org.apache.hadoop.util.TestShell,testShellCommandTimerLeak,1
hadoop,037964f45cca200112caf3b76e0e9df4beaa3bcc,org.apache.hadoop.hdfs.TestHFlush,hFlush_01,1
hadoop,037964f45cca200112caf3b76e0e9df4beaa3bcc,org.apache.hadoop.hdfs.TestHFlush,hFlush_02,1
hadoop,037964f45cca200112caf3b76e0e9df4beaa3bcc,org.apache.hadoop.hdfs.TestHFlush,hFlush_03,1
hadoop,037964f45cca200112caf3b76e0e9df4beaa3bcc,org.apache.hadoop.hdfs.TestHFlush,testHFlushInterrupted,1
hadoop,037964f45cca200112caf3b76e0e9df4beaa3bcc,org.apache.hadoop.hdfs.TestHFlush,testPipelineHeartbeat,1
hadoop,037964f45cca200112caf3b76e0e9df4beaa3bcc,org.apache.hadoop.hdfs.TestSetTimes,testTimes,1
hadoop,037964f45cca200112caf3b76e0e9df4beaa3bcc,org.apache.hadoop.hdfs.TestSetTimes,testTimesAtClose,1
hadoop,062876bed726e3921d5585825b49749253c04497,org.apache.hadoop.hdfs.TestDFSClientRetries,testDFSClientRetriesOnBusyBlocks,1
hadoop,062876bed726e3921d5585825b49749253c04497,org.apache.hadoop.hdfs.TestDFSClientRetries,testFailuresArePerOperation,1
hadoop,062876bed726e3921d5585825b49749253c04497,org.apache.hadoop.hdfs.TestDFSClientRetries,testGetFileChecksum,1
hadoop,062876bed726e3921d5585825b49749253c04497,org.apache.hadoop.hdfs.TestDFSClientRetries,testWriteTimeoutAtDataNode,1
hadoop,062876bed726e3921d5585825b49749253c04497,org.apache.hadoop.hdfs.TestWriteConfigurationToDFS,testWriteConf,1
