Project,sha,class_,method,Found
hector,08a7004ed341de1ca150267d88972cadf7e17b7e,me.prettyprint.cassandra.service.CassandraClusterTest,testDescribeKeyspaces,1
hector,0d805b1676ce85b3b166f125bb26bd9d48640f74,me.prettyprint.cassandra.service.CassandraClusterTest,testDescribeKeyspaces,1
hector,0fef6365cd16523a17e2ab13f8355ddf58934690,me.prettyprint.cassandra.utils.TimeUUIDUtilsTest,testTimeUUIDWithClockResolution,1
hector,1a1219b17071aa7c66daedea42b731f749da43d9,me.prettyprint.cassandra.service.CassandraClusterTest,testDescribeKeyspaces,1
hector,21f30dfb4401788ec0d09e573a5751019ca2b642,me.prettyprint.cassandra.utils.TimeUUIDUtilsTest,testTimeUUIDWithClockResolution,1
hector,24e8780517ae092ae9ff0ba7cf40900fc4a3fd9a,me.prettyprint.cassandra.service.CassandraClusterTest,testDescribeKeyspaces,1
hector,2b3b8d13a0790ad543adc16d43a84be5f27ef187,me.prettyprint.cassandra.service.CassandraClusterTest,testDescribeKeyspaces,1
hector,2cbf7ecf3a35dabdb675bb0bde75a2c40a4e7483,me.prettyprint.cassandra.service.CassandraClusterTest,testDescribeKeyspaces,1
hector,33d7497bfaf8480125fbcc8770a08aa162b5f7e9,me.prettyprint.cassandra.utils.TimeUUIDUtilsTest,testTimeUUIDWithClockResolution,1
hector,33e87e02e331d334a3a0d5fbb7b97efc1125b467,me.prettyprint.cassandra.service.CassandraClusterTest,testDescribeKeyspaces,1
hector,33e87e02e331d334a3a0d5fbb7b97efc1125b467,me.prettyprint.hom.EntityManagerFactoryTest,testCreateEntityManager,1
hector,34180bf6a1045124c39fea54dcaf6273d067fbd4,me.prettyprint.hom.EntityManagerFactoryTest,testCreateEntityManager,1
hector,3b58262762f3d4f43b648c413de983873a982edf,me.prettyprint.cassandra.service.CassandraClusterTest,testDescribeKeyspaces,1
hector,527b92b914f046a77db7b4bba6caeab7ec4dfde5,me.prettyprint.cassandra.service.CassandraClusterTest,testDescribeKeyspaces,1
hector,54cc4eaf3d6bc8846795c815f46ca68343f1daeb,me.prettyprint.cassandra.service.CassandraClusterTest,testDescribeKeyspaces,1
hector,58f4d5a19babbcac424733c375d31e3d2af77cc2,me.prettyprint.cassandra.utils.TimeUUIDUtilsTest,testTimeUUIDWithClockResolution,1
hector,5c01dc5ee1d204188faccf159e8bc775ba4fc432,me.prettyprint.cassandra.utils.TimeUUIDUtilsTest,testTimeUUIDWithClockResolution,1
hector,5e6705207d35f28bce9a2e9e4e6426eb684e9aa1,me.prettyprint.cassandra.service.CassandraClusterTest,testDescribeKeyspaces,1
hector,5edb39ccc6b323dd4e6264ac3c0c514f965c43ba,me.prettyprint.cassandra.service.CassandraClusterTest,testDescribeKeyspaces,1
hector,5edb39ccc6b323dd4e6264ac3c0c514f965c43ba,me.prettyprint.cassandra.utils.TimeUUIDUtilsTest,testTimeUUIDWithClockResolution,1
hector,5f43b3a9f202c3a516220b1e067c11049a1afebb,me.prettyprint.cassandra.service.CassandraClusterTest,testDescribeKeyspaces,1
hector,61aa002601bf0ac63c97735deda357576015c287,me.prettyprint.hom.EntityManagerFactoryTest,testCreateEntityManager,1
hector,6aa7e853ea06fb741536c038eb795075346062f9,me.prettyprint.cassandra.service.CassandraClusterTest,testEditColumnFamily,1
hector,6aa7e853ea06fb741536c038eb795075346062f9,me.prettyprint.cassandra.utils.TimeUUIDUtilsTest,testTimeUUIDWithClockResolution,1
hector,6ac711f34034bcbb774547f55f9f37f5157160ea,me.prettyprint.cassandra.service.CassandraClusterTest,testDescribeKeyspaces,1
hector,6ac711f34034bcbb774547f55f9f37f5157160ea,me.prettyprint.cassandra.utils.TimeUUIDUtilsTest,testTimeUUIDWithClockResolution,1
hector,6c6c8a67fb7b47516424b757fee2e2020ba10e3f,me.prettyprint.cassandra.service.CassandraClusterTest,testDescribeKeyspaces,1
hector,6f43855ef94f5b3a011dad0f71f9b91c5573a625,me.prettyprint.cassandra.service.CassandraClusterTest,testDescribeKeyspaces,1
hector,77ecfd398f979761266a3a6b87cb237430324d97,me.prettyprint.cassandra.service.CassandraClusterTest,testDescribeKeyspaces,1
hector,79be5d08743e8646e5ca446a1871ccfbf68094c8,me.prettyprint.cassandra.utils.TimeUUIDUtilsTest,testTimeUUIDWithClockResolution,1
hector,7a2f60b1cc04149673f6881db9e5e21cbf8cafcf,me.prettyprint.cassandra.utils.TimeUUIDUtilsTest,testTimeUUIDWithClockResolution,1
hector,7c427b534f45517a7bc99c4f9e49e660bf265bd0,me.prettyprint.cassandra.service.CassandraClusterTest,testDescribeKeyspaces,1
hector,7c427b534f45517a7bc99c4f9e49e660bf265bd0,me.prettyprint.hom.EntityManagerFactoryTest,testCreateEntityManager,1
hector,7cd6b774957932870475813ac9676efa3766293b,me.prettyprint.cassandra.utils.TimeUUIDUtilsTest,testTimeUUIDWithClockResolution,1
hector,7cf2ede1f838277421dd5600cce266bd60f4fc02,me.prettyprint.hom.EntityManagerFactoryTest,testCreateEntityManager,1
