Project,sha,class_,method,Found
logback,147ed05b09fc60430d87aa1da984d7a24092aa6a,ch.qos.logback.classic.sift.MDCBasedDiscriminatorTest,nullMDC,1
logback,16a26fdc6e144de18ee8805724ec7341d3bf06f3,ch.qos.logback.core.net.AbstractSocketAppenderTest,addsInfoMessageWhenSocketConnectionClosed,1
logback,16a26fdc6e144de18ee8805724ec7341d3bf06f3,ch.qos.logback.core.net.AbstractSocketAppenderTest,addsInfoMessageWhenSocketConnectionFailed,1
logback,16a26fdc6e144de18ee8805724ec7341d3bf06f3,ch.qos.logback.core.net.AbstractSocketAppenderTest,closesSocketOnException,1
logback,16a26fdc6e144de18ee8805724ec7341d3bf06f3,ch.qos.logback.core.net.AbstractSocketAppenderTest,shutsDownOnInterruptWhileWaitingForEvent,1
logback,19cde4d58e8264ab2086730d8e7e3cd8757007ca,ch.qos.logback.core.net.AbstractSocketAppenderTest,reAddsEventAtTheFrontOfTheDequeWhenTransmissionFails,1
logback,46080183489ad1988c5eb8ad1a14deb876003c57,ch.qos.logback.classic.sift.MDCBasedDiscriminatorTest,nullMDC,1
logback,5fc6a8d495d8c034f30bcc201bc32fa9864e4d61,ch.qos.logback.core.AsyncAppenderBaseTest,workerShouldStopEvenIfInterruptExceptionConsumedWithinSubappender,1
logback,929b984db4435766a5e4718fec4fdcc5d81a8efb,ch.qos.logback.classic.sift.MDCBasedDiscriminatorTest,nullMDC,1
logback,929b984db4435766a5e4718fec4fdcc5d81a8efb,ch.qos.logback.core.net.AbstractSocketAppenderTest,addsInfoMessageWhenSocketConnectionClosed,1
logback,929b984db4435766a5e4718fec4fdcc5d81a8efb,ch.qos.logback.core.net.AbstractSocketAppenderTest,shutsDownOnInterruptWhileWaitingForEvent,1
logback,b44048c53a872a77b7c85f6c66ad26a9f0449a23,ch.qos.logback.core.net.AbstractSocketAppenderTest,addsInfoMessageWhenEventIsBeingDroppedBecauseOfConnectionProblemAndDequeCapacityLimitReached,1
logback,c1061ba4a7447a5469a1d964ce3a46bf1893cc5d,ch.qos.logback.classic.sift.MDCBasedDiscriminatorTest,nullMDC,1
logback,c63a656be51da79bc82260a3201c22ef90b1cd66,ch.qos.logback.core.net.AbstractSocketAppenderTest,addsInfoMessageWhenEventIsBeingDroppedBecauseOfConnectionProblemAndDequeCapacityLimitReached,1
logback,ea0da34cffd55ffb8b8462bda4eb57070adb5603,ch.qos.logback.core.recovery.RecoveryCoordinatorTest,recoveryNotNeededIfCurrentTimeSetToBackOffTime,1
logback,edc0fe2340782a592f9fd8329287d8ea5557b09c,ch.qos.logback.classic.pattern.ConverterTest,testRelativeTime,1
logback,f438ea021657fe3cde742e169f60ffe39fe750b6,ch.qos.logback.core.net.AbstractSocketAppenderTest,addsErrorMessageWhenAppendingIsInterruptedWhileWaitingForTheQueueToAcceptTheEvent,1
logback,f438ea021657fe3cde742e169f60ffe39fe750b6,ch.qos.logback.core.net.AbstractSocketAppenderTest,reAddsEventAtTheFrontOfTheDequeWhenTransmissionFails,1
