Project,sha,class_,method,Found
oozie,0492ce4f059641a286b6a258bf6f8f37d32ae94c,org.apache.oozie.service.TestPartitionDependencyManagerEhcache,testEvictionOnTimeToLive,1
oozie,09d8e5e1de03ccdaab31d901f311e8513bfd7770,org.apache.oozie.service.TestPartitionDependencyManagerEhcache,testEvictionOnTimeToIdle,1
oozie,09d8e5e1de03ccdaab31d901f311e8513bfd7770,org.apache.oozie.service.TestPartitionDependencyManagerEhcache,testMaxElementsInMemory,1
oozie,0c7df8c3c511ccd8475eb916e77c2826f841476a,org.apache.oozie.command.coord.TestCoordPushDependencyCheckXCommand,testRequeueOnException,1
oozie,0c7df8c3c511ccd8475eb916e77c2826f841476a,org.apache.oozie.service.TestPartitionDependencyManagerEhcache,testEvictionOnTimeToLive,1
oozie,0c7df8c3c511ccd8475eb916e77c2826f841476a,org.apache.oozie.service.TestPartitionDependencyManagerEhcache,testMaxElementsInMemory,1
oozie,0e9c5900ece1202fdb3ce75548a45fcec1a7486a,org.apache.oozie.command.coord.TestCoordPushDependencyCheckXCommand,testRequeueOnException,1
oozie,0f24e67bf7733f9f4ad50312f0600aa0d23706dc,org.apache.oozie.client.TestWorkflowClient,testSla,1
oozie,0f24e67bf7733f9f4ad50312f0600aa0d23706dc,org.apache.oozie.sla.TestSLAEventGeneration,testCoordinatorActionCommands,1
oozie,125daa8bdf392fb2035c3aaecde7f8221efd25e5,org.apache.oozie.action.TestActionFailover,testFsFailover,1
oozie,125daa8bdf392fb2035c3aaecde7f8221efd25e5,org.apache.oozie.action.hadoop.TestRerun,testRerun,1
oozie,125daa8bdf392fb2035c3aaecde7f8221efd25e5,org.apache.oozie.action.oozie.TestSubWorkflowActionExecutor,testConfigNotPropagation,1
oozie,125daa8bdf392fb2035c3aaecde7f8221efd25e5,org.apache.oozie.action.oozie.TestSubWorkflowActionExecutor,testConfigPropagation,1
oozie,125daa8bdf392fb2035c3aaecde7f8221efd25e5,org.apache.oozie.action.oozie.TestSubWorkflowActionExecutor,testGetGroupFromParent,1
oozie,125daa8bdf392fb2035c3aaecde7f8221efd25e5,org.apache.oozie.action.oozie.TestSubWorkflowActionExecutor,testSubWorkflowRecovery,1
oozie,125daa8bdf392fb2035c3aaecde7f8221efd25e5,org.apache.oozie.action.oozie.TestSubWorkflowActionExecutor,testSubWorkflowStart,1
oozie,125daa8bdf392fb2035c3aaecde7f8221efd25e5,org.apache.oozie.action.oozie.TestSubWorkflowActionExecutor,testSubworkflowLib,1
oozie,125daa8bdf392fb2035c3aaecde7f8221efd25e5,org.apache.oozie.client.TestLocalOozie,testWorkflowRun,1
oozie,125daa8bdf392fb2035c3aaecde7f8221efd25e5,org.apache.oozie.event.TestEventQueue,testQueueOperations,1
oozie,125daa8bdf392fb2035c3aaecde7f8221efd25e5,org.apache.oozie.service.TestPartitionDependencyManagerEhcache,testEvictionOnTimeToIdle,1
oozie,13a7ad36eaa28e70284d4a80905b2e730f19c25f,org.apache.oozie.action.TestActionFailover,testFsFailover,1
oozie,13a7ad36eaa28e70284d4a80905b2e730f19c25f,org.apache.oozie.command.wf.TestActionCheckXCommand,testActionCheckTransientDuringLauncher,1
oozie,144f6dd7ad9abedecf8130a2eff8bf66839f0468,org.apache.oozie.service.TestPartitionDependencyManagerEhcache,testMaxElementsInMemory,1
oozie,1a903028345532eeb5b0e6d3081610d49f48d368,org.apache.oozie.service.TestPartitionDependencyManagerEhcache,testEvictionOnTimeToLive,1
oozie,1a903028345532eeb5b0e6d3081610d49f48d368,org.apache.oozie.service.TestPartitionDependencyManagerEhcache,testMaxElementsInMemory,1
oozie,23980cae6cf26e48ab0f3100da99763e23660105,org.apache.oozie.command.coord.TestCoordActionInputCheckXCommand,testCoordActionInputCheckXCommandUniqueness,1
oozie,24fedae651b26b0f5fb980e96f26ae39fc92e89f,org.apache.oozie.command.bundle.TestBundleJobSuspendXCommand,testBundleSuspend2,1
oozie,264ec14b7e1551ef0147f6072ec068d860cbf2c5,org.apache.oozie.TestActionBean,testAction,1
oozie,264ec14b7e1551ef0147f6072ec068d860cbf2c5,org.apache.oozie.TestActionBean,testEmptyWriteRead,1
oozie,264ec14b7e1551ef0147f6072ec068d860cbf2c5,org.apache.oozie.TestActionBean,testFullWriteRead,1
oozie,264ec14b7e1551ef0147f6072ec068d860cbf2c5,org.apache.oozie.action.TestActionExecutor,testActionExecutor,1
oozie,264ec14b7e1551ef0147f6072ec068d860cbf2c5,org.apache.oozie.action.email.TestEmailActionExecutor,testSetupMethods,1
oozie,264ec14b7e1551ef0147f6072ec068d860cbf2c5,org.apache.oozie.action.hadoop.TestHadoopELFunctions,testELFunctionsReturningMapReduceStats,1
oozie,264ec14b7e1551ef0147f6072ec068d860cbf2c5,org.apache.oozie.action.hadoop.TestHadoopELFunctions,testELFunctionsReturningPigStats,1
oozie,264ec14b7e1551ef0147f6072ec068d860cbf2c5,org.apache.oozie.action.hadoop.TestMapReduceActionExecutor,testCommaSeparatedFilesAndArchives,1
oozie,264ec14b7e1551ef0147f6072ec068d860cbf2c5,org.apache.oozie.action.hadoop.TestMapReduceActionExecutor,testDefaultShareLibName,1
oozie,264ec14b7e1551ef0147f6072ec068d860cbf2c5,org.apache.oozie.action.hadoop.TestMapReduceActionExecutor,testLauncherJar,1
oozie,264ec14b7e1551ef0147f6072ec068d860cbf2c5,org.apache.oozie.action.hadoop.TestMapReduceActionExecutor,testMapReduceWithUberJarDisabled,1
oozie,264ec14b7e1551ef0147f6072ec068d860cbf2c5,org.apache.oozie.action.hadoop.TestMapReduceActionExecutor,testPipes,1
oozie,264ec14b7e1551ef0147f6072ec068d860cbf2c5,org.apache.oozie.action.hadoop.TestMapReduceActionExecutor,testSetupMethods,1
oozie,264ec14b7e1551ef0147f6072ec068d860cbf2c5,org.apache.oozie.action.hadoop.TestPrepareActionsDriver,testDoOperationsWithInvalidXML,1
oozie,264ec14b7e1551ef0147f6072ec068d860cbf2c5,org.apache.oozie.action.hadoop.TestPrepareActionsDriver,testDoOperationsWithValidXML,1
oozie,264ec14b7e1551ef0147f6072ec068d860cbf2c5,org.apache.oozie.action.hadoop.TestShellMain,testShellScriptFailure,1
oozie,264ec14b7e1551ef0147f6072ec068d860cbf2c5,org.apache.oozie.action.hadoop.TestShellMain,testShellScriptSuccess,1
oozie,264ec14b7e1551ef0147f6072ec068d860cbf2c5,org.apache.oozie.action.oozie.TestSubWorkflowActionExecutor,testType,1
oozie,264ec14b7e1551ef0147f6072ec068d860cbf2c5,org.apache.oozie.service.TestActionCheckerService,testActionCheckerService,1
oozie,264ec14b7e1551ef0147f6072ec068d860cbf2c5,org.apache.oozie.service.TestActionCheckerService,testActionCheckerServiceCoord,1
oozie,264ec14b7e1551ef0147f6072ec068d860cbf2c5,org.apache.oozie.service.TestActionCheckerService,testActionCheckerServiceDelay,1
oozie,264ec14b7e1551ef0147f6072ec068d860cbf2c5,org.apache.oozie.service.TestAuthorizationService,testAdminUsersWithAdminFile,1
oozie,264ec14b7e1551ef0147f6072ec068d860cbf2c5,org.apache.oozie.service.TestAuthorizationService,testAdminUsersWithAdminGroup,1
oozie,264ec14b7e1551ef0147f6072ec068d860cbf2c5,org.apache.oozie.service.TestAuthorizationService,testAuthorizationServiceForBundle,1
oozie,264ec14b7e1551ef0147f6072ec068d860cbf2c5,org.apache.oozie.service.TestAuthorizationService,testAuthorizationServiceForCoord,1
oozie,264ec14b7e1551ef0147f6072ec068d860cbf2c5,org.apache.oozie.service.TestAuthorizationService,testAuthorizationServiceUseACLs,1
oozie,264ec14b7e1551ef0147f6072ec068d860cbf2c5,org.apache.oozie.service.TestAuthorizationService,testAuthorizationServiceUseDefaultGroup,1
oozie,264ec14b7e1551ef0147f6072ec068d860cbf2c5,org.apache.oozie.service.TestAuthorizationService,testDefaultGroup,1
oozie,264ec14b7e1551ef0147f6072ec068d860cbf2c5,org.apache.oozie.service.TestAuthorizationService,testErrors,1
oozie,264ec14b7e1551ef0147f6072ec068d860cbf2c5,org.apache.oozie.service.TestCallbackService,testCallbacks,1
oozie,264ec14b7e1551ef0147f6072ec068d860cbf2c5,org.apache.oozie.service.TestCallbackService,testService,1
oozie,264ec14b7e1551ef0147f6072ec068d860cbf2c5,org.apache.oozie.service.TestConfigurationService,testAlternateConfDir,1
oozie,264ec14b7e1551ef0147f6072ec068d860cbf2c5,org.apache.oozie.service.TestConfigurationService,testMissingSite,1
oozie,264ec14b7e1551ef0147f6072ec068d860cbf2c5,org.apache.oozie.service.TestConfigurationService,testSysPropOverride,1
oozie,264ec14b7e1551ef0147f6072ec068d860cbf2c5,org.apache.oozie.service.TestConfigurationService,testValueFromDefault,1
oozie,264ec14b7e1551ef0147f6072ec068d860cbf2c5,org.apache.oozie.service.TestConfigurationService,testValueFromSite,1
oozie,264ec14b7e1551ef0147f6072ec068d860cbf2c5,org.apache.oozie.service.TestConfigurationService,testValueFromSiteAlternate,1
