Project,sha,class_,method,Found
oryx,14b531eb34d4714e7249dfd2998e83ac90815d89,com.cloudera.oryx.app.speed.rdf.RDFSpeedIT,testRDFSpeedClassification,1
oryx,194fdb5b1d3a50dad75e5b8b395340e2ff151b8b,com.cloudera.oryx.app.mllib.rdf.RDFCategoricalHyperParamTuningIT,testRDF,1
oryx,36dff07868ff4a7e0c0dcc4f3b7b784320193cf9,com.cloudera.oryx.app.speed.als.ALSSpeedIT,testALSSpeed,1
oryx,6bd074ae1fa51966a96fb9a38c4ee8fa3d93b484,com.cloudera.oryx.app.speed.rdf.RDFSpeedIT,testRDFSpeedClassification,1
oryx,6fb2e4a6c17613e9fc1d76a7e992725b89532b4e,com.cloudera.oryx.app.speed.rdf.RDFSpeedIT,testRDFSpeedClassification,1
oryx,7ab42c4fedc1e71eb93891ab572dda34b44ee325,com.cloudera.oryx.app.pmml.AppPMMLUtilsTest,testExtensionContent,1
oryx,7ab42c4fedc1e71eb93891ab572dda34b44ee325,com.cloudera.oryx.app.serving.als.BecauseTest,testBecause,1
oryx,7ab42c4fedc1e71eb93891ab572dda34b44ee325,com.cloudera.oryx.app.serving.als.BecauseTest,testHowMany,1
oryx,7ab42c4fedc1e71eb93891ab572dda34b44ee325,com.cloudera.oryx.app.serving.als.BecauseTest,testOffset,1
oryx,7ab42c4fedc1e71eb93891ab572dda34b44ee325,com.cloudera.oryx.app.serving.als.MostActiveUsersTest,testMostPopular,1
oryx,7ab42c4fedc1e71eb93891ab572dda34b44ee325,com.cloudera.oryx.app.serving.als.MostActiveUsersTest,testRescorer,1
oryx,7ab42c4fedc1e71eb93891ab572dda34b44ee325,com.cloudera.oryx.app.serving.als.MostPopularItemsTest,testMostPopular,1
oryx,7ab42c4fedc1e71eb93891ab572dda34b44ee325,com.cloudera.oryx.app.serving.als.MostPopularItemsTest,testRescorer,1
oryx,7ab42c4fedc1e71eb93891ab572dda34b44ee325,com.cloudera.oryx.app.serving.als.MostSurprisingTest,testHowMany,1
oryx,7ab42c4fedc1e71eb93891ab572dda34b44ee325,com.cloudera.oryx.app.serving.als.MostSurprisingTest,testMostSurprising,1
oryx,7ab42c4fedc1e71eb93891ab572dda34b44ee325,com.cloudera.oryx.app.serving.als.MostSurprisingTest,testOffset,1
oryx,7ab42c4fedc1e71eb93891ab572dda34b44ee325,com.cloudera.oryx.app.serving.als.RecommendTest,testConsiderKnownItems,1
oryx,7ab42c4fedc1e71eb93891ab572dda34b44ee325,com.cloudera.oryx.app.serving.als.RecommendTest,testHowMany,1
oryx,7ab42c4fedc1e71eb93891ab572dda34b44ee325,com.cloudera.oryx.app.serving.als.RecommendTest,testOffset,1
oryx,7ab42c4fedc1e71eb93891ab572dda34b44ee325,com.cloudera.oryx.app.serving.als.RecommendTest,testRecommend,1
