Project,sha,class_,method
hbase,0491cb140a7563f7c4d51eb2aa43d1376f6ea2f3,org.apache.hadoop.hbase.TestFullLogReconstruction,testReconstruction
hbase,0491cb140a7563f7c4d51eb2aa43d1376f6ea2f3,org.apache.hadoop.hbase.TestInfoServers,testInfoServersAreUp
hbase,0491cb140a7563f7c4d51eb2aa43d1376f6ea2f3,org.apache.hadoop.hbase.TestRegionRebalancing,testRebalancing
hbase,0491cb140a7563f7c4d51eb2aa43d1376f6ea2f3,org.apache.hadoop.hbase.TestScanMultipleVersions,testScanMultipleVersions
hbase,0491cb140a7563f7c4d51eb2aa43d1376f6ea2f3,org.apache.hadoop.hbase.TestZooKeeper,testClientSessionExpired
hbase,0491cb140a7563f7c4d51eb2aa43d1376f6ea2f3,org.apache.hadoop.hbase.master.TestMinimumServerCount,testMinimumServerCount
hbase,0491cb140a7563f7c4d51eb2aa43d1376f6ea2f3,org.apache.hadoop.hbase.master.TestRegionManager,testGetFirstMetaRegionForRegionAfterMetaSplit
hbase,0491cb140a7563f7c4d51eb2aa43d1376f6ea2f3,org.apache.hadoop.hbase.regionserver.TestMemStore,testGetNextRow
hbase,0491cb140a7563f7c4d51eb2aa43d1376f6ea2f3,org.apache.hadoop.hbase.util.TestMergeTool,testMergeTool
hbase,051fc2732402791a010958694e71f6b3b4c8948d,org.apache.hadoop.hbase.TestMergeMeta,testMergeMeta
hbase,051fc2732402791a010958694e71f6b3b4c8948d,org.apache.hadoop.hbase.regionserver.TestHRegion,testWritesWhileGetting
hbase,051fc2732402791a010958694e71f6b3b4c8948d,org.apache.hadoop.hbase.util.TestMergeTool,testMergeTool
hbase,05980e26b887745219165d98567b3914be64dc9e,org.apache.hadoop.hbase.master.TestMasterTransitions,testKillRSWithOpeningRegion2482
hbase,05980e26b887745219165d98567b3914be64dc9e,org.apache.hadoop.hbase.regionserver.TestMemStore,testGetNextRow
hbase,064e9fe7ab7873db824a999b736ac44d28853ffe,org.apache.hadoop.hbase.master.TestMasterTransitions,testRegionCloseWhenNoMetaHBase2428
hbase,064e9fe7ab7873db824a999b736ac44d28853ffe,org.apache.hadoop.hbase.regionserver.TestHRegion,testWritesWhileGetting
hbase,0abcfa0ed70db2a3ffc0b26237a774bb6ee30b0d,org.apache.hadoop.hbase.master.TestMasterTransitions,testRegionCloseWhenNoMetaHBase2428
hbase,0b590b5703f22d8a4f831dc20108f136bb8448f0,org.apache.hadoop.hbase.TestMergeMeta,testMergeMeta
hbase,0b590b5703f22d8a4f831dc20108f136bb8448f0,org.apache.hadoop.hbase.rest.TestScannerResource,testFullTableScan
hbase,0b590b5703f22d8a4f831dc20108f136bb8448f0,org.apache.hadoop.hbase.rest.TestScannerResource,testSimpleScannerBinary
hbase,0b590b5703f22d8a4f831dc20108f136bb8448f0,org.apache.hadoop.hbase.rest.TestScannerResource,testSimpleScannerPB
hbase,0b590b5703f22d8a4f831dc20108f136bb8448f0,org.apache.hadoop.hbase.rest.TestScannerResource,testSimpleScannerXML
hbase,0b590b5703f22d8a4f831dc20108f136bb8448f0,org.apache.hadoop.hbase.rest.TestScannersWithFilters,testFilterList
hbase,0b590b5703f22d8a4f831dc20108f136bb8448f0,org.apache.hadoop.hbase.rest.TestScannersWithFilters,testFirstKeyOnlyFilter
hbase,0b590b5703f22d8a4f831dc20108f136bb8448f0,org.apache.hadoop.hbase.rest.TestStatusResource,testGetClusterStatusPB
hbase,0b590b5703f22d8a4f831dc20108f136bb8448f0,org.apache.hadoop.hbase.rest.TestStatusResource,testGetClusterStatusXML
hbase,0b590b5703f22d8a4f831dc20108f136bb8448f0,org.apache.hadoop.hbase.rest.TestVersionResource,testGetStargateVersionJSON
hbase,0b590b5703f22d8a4f831dc20108f136bb8448f0,org.apache.hadoop.hbase.rest.TestVersionResource,testGetStargateVersionPB
hbase,0b590b5703f22d8a4f831dc20108f136bb8448f0,org.apache.hadoop.hbase.rest.TestVersionResource,testGetStargateVersionText
hbase,0b590b5703f22d8a4f831dc20108f136bb8448f0,org.apache.hadoop.hbase.rest.TestVersionResource,testGetStargateVersionXML
hbase,0b590b5703f22d8a4f831dc20108f136bb8448f0,org.apache.hadoop.hbase.rest.TestVersionResource,testGetStorageClusterVersionJSON
hbase,0b590b5703f22d8a4f831dc20108f136bb8448f0,org.apache.hadoop.hbase.rest.TestVersionResource,testGetStorageClusterVersionText
hbase,0b590b5703f22d8a4f831dc20108f136bb8448f0,org.apache.hadoop.hbase.rest.TestVersionResource,testGetStorageClusterVersionXML
hbase,0b590b5703f22d8a4f831dc20108f136bb8448f0,org.apache.hadoop.hbase.rest.client.TestRemoteAdmin,testDeleteTable
hbase,0b590b5703f22d8a4f831dc20108f136bb8448f0,org.apache.hadoop.hbase.util.TestMergeTool,testMergeTool
hbase,13cf63cac5a458e26d4f1cdd8643c32d7a18e8fd,org.apache.hadoop.hbase.master.TestMaster,testMasterOpsWhileSplitting
hbase,16dfe22a6d760c02031dad508c3f45b1e671b64c,org.apache.hadoop.hbase.regionserver.TestMemStore,testGetNextRow
hbase,1e39459111709b7677cc8a9b2fbc2763a143df4b,org.apache.hadoop.hbase.regionserver.TestHRegion,testWritesWhileScanning
hbase,1e39459111709b7677cc8a9b2fbc2763a143df4b,org.apache.hadoop.hbase.regionserver.TestMemStore,testGetNextRow
hbase,1edb36c6b601775f51213950344bc29fea89c6f8,org.apache.hadoop.hbase.TestMergeMeta,testMergeMeta
hbase,1edb36c6b601775f51213950344bc29fea89c6f8,org.apache.hadoop.hbase.rest.TestScannersWithFilters,testInclusiveStopFilter
