Project,sha,class_,method
jackrabbit-oak,1af0f7ab20a86b03e1409d515e55e1e435bfef21,org.apache.jackrabbit.oak.run.osgi.DocumentNodeStoreConfigTest,testRDBDocumentStore_CustomBlobDataSource
jackrabbit-oak,31c58b3749d50e87cb717f7f01f762f37dde66b1,org.apache.jackrabbit.oak.jcr.security.authorization.ReadTest,testGlobRestriction2
jackrabbit-oak,31c58b3749d50e87cb717f7f01f762f37dde66b1,org.apache.jackrabbit.oak.jcr.security.authorization.ReadTest,testGlobRestriction3
jackrabbit-oak,5c2bbae7cdeebed5ccc2a0d6c9211c34b0c67c94,org.apache.jackrabbit.oak.plugins.segment.standby.BrokenNetworkTest,testProxyFlippedIntermediateByteSSL
jackrabbit-oak,5c2bbae7cdeebed5ccc2a0d6c9211c34b0c67c94,org.apache.jackrabbit.oak.plugins.segment.standby.BrokenNetworkTest,testProxyFlippedStartByte
jackrabbit-oak,5e7129a36da1b040194b2f898e342e518da2f85d,org.apache.jackrabbit.oak.plugins.blob.CompositeDataStoreCacheTest,invalidateStaging
jackrabbit-oak,66ea2666b1e08a0fcf01484f1aec3d97b37c894e,org.apache.jackrabbit.oak.jcr.JackrabbitNodeTest,testRename
jackrabbit-oak,66ea2666b1e08a0fcf01484f1aec3d97b37c894e,org.apache.jackrabbit.oak.jcr.JackrabbitNodeTest,testRenameEventHandling
jackrabbit-oak,6de1bd2eee805a859fcad0f87a9cf704c132a22e,org.apache.jackrabbit.oak.plugins.document.rdb.RDBDocumentSerializerTest,testBlobAndDiff
jackrabbit-oak,6de1bd2eee805a859fcad0f87a9cf704c132a22e,org.apache.jackrabbit.oak.plugins.document.rdb.RDBDocumentSerializerTest,testBlobAndDiffBorked
jackrabbit-oak,6de1bd2eee805a859fcad0f87a9cf704c132a22e,org.apache.jackrabbit.oak.plugins.document.rdb.RDBDocumentSerializerTest,testSimpleBlob
jackrabbit-oak,6de1bd2eee805a859fcad0f87a9cf704c132a22e,org.apache.jackrabbit.oak.plugins.document.rdb.RDBDocumentSerializerTest,testSimpleBoth
