Project,sha,class_,method
okhttp,027618dfdc25f28018286864ddf0eee5950d1c41,com.squareup.okhttp.CacheTest,clientPrematureDisconnectWithNoLengthHeaders
okhttp,027618dfdc25f28018286864ddf0eee5950d1c41,com.squareup.okhttp.CacheTest,clientSuppliedConditionWithoutCachedResult
okhttp,027618dfdc25f28018286864ddf0eee5950d1c41,com.squareup.okhttp.CacheTest,maxAgeInTheFutureWithDateHeader
okhttp,027618dfdc25f28018286864ddf0eee5950d1c41,com.squareup.okhttp.CacheTest,noDefaultExpirationForUrlsWithQueryString
okhttp,02ee75d0381728a24b9fd4de3aa5455e6eedc9d0,com.squareup.okhttp.internal.http.URLConnectionTest,noTransparentGzipFor304NotModified
okhttp,02ee75d0381728a24b9fd4de3aa5455e6eedc9d0,com.squareup.okhttp.internal.http.URLConnectionTest,postFailsWithFixedLengthRequestForLargeRequest
okhttp,02ee75d0381728a24b9fd4de3aa5455e6eedc9d0,com.squareup.okhttp.internal.http.URLConnectionTest,response300MultipleChoiceWithPost
okhttp,04e530ad0b75f05f057e5990a631578eb0fcdc2c,com.squareup.okhttp.internal.http.HttpOverHttp20Draft16Test,readTimeoutOnSlowConnection
okhttp,04e530ad0b75f05f057e5990a631578eb0fcdc2c,com.squareup.okhttp.internal.http.URLConnectionTest,postFailsWithFixedLengthRequestForLargeRequest
okhttp,050eb79163c2ab185461baf9cdb307cfb7d26a91,com.squareup.okhttp.internal.http.URLConnectionTest,postFailsWithChunkedRequestForLargeRequest
okhttp,087348c2c70abaa50f119d608b19d13210bcc3c0,com.squareup.okhttp.internal.spdy.SpdyConnectionTest,serverClosesClientInputStream
okhttp,09bb8bcd0db29bc96ca9b771e06e5f8055d9f46a,com.squareup.okhttp.internal.http.URLConnectionTest,connectViaHttpProxyToHttpsUsingBadProxyAndHttpResponseCache
okhttp,09bb8bcd0db29bc96ca9b771e06e5f8055d9f46a,com.squareup.okhttp.internal.huc.ResponseCacheTest,cacheControlNoCacheAndExpirationDateInTheFuture
okhttp,09bb8bcd0db29bc96ca9b771e06e5f8055d9f46a,com.squareup.okhttp.internal.huc.ResponseCacheTest,clientPrematureDisconnectWithContentLengthHeader
okhttp,09bb8bcd0db29bc96ca9b771e06e5f8055d9f46a,com.squareup.okhttp.internal.huc.ResponseCacheTest,getHeadersDeletesCached100LevelWarnings
okhttp,09bb8bcd0db29bc96ca9b771e06e5f8055d9f46a,com.squareup.okhttp.internal.huc.ResponseCacheTest,responseSourceHeaderConditionalCacheNotFetched
okhttp,0b0fe2e03f4a45563b9f36fe51ddf73dd74bbb59,com.squareup.okhttp.internal.http.URLConnectionTest,authenticateWithGet
okhttp,0b677ac70d37f9064d3a0c0914794f60f66d64be,com.squareup.okhttp.internal.http.URLConnectionTest,inputStreamAvailableWithChunkedEncoding
okhttp,0b677ac70d37f9064d3a0c0914794f60f66d64be,com.squareup.okhttp.internal.http.URLConnectionTest,postFailsWithBufferedRequestForLargeRequest
okhttp,122e99980d6f16ba4f13fc99135603600cf4823d,com.squareup.okhttp.internal.http.HttpOverSpdy3Test,readTimeoutOnSlowConnection
okhttp,17840eda568fd74aa48c648ac498d4fd0d378dc8,com.squareup.okhttp.internal.http.HttpResponseCacheTest,clientPrematureDisconnectWithNoLengthHeaders
okhttp,17840eda568fd74aa48c648ac498d4fd0d378dc8,com.squareup.okhttp.internal.http.HttpResponseCacheTest,contentLocationDoesNotPopulateCache
okhttp,1836612da753d911e4065197e5da485616c78745,com.squareup.okhttp.internal.http.URLConnectionTest,connectViaHttpProxyToHttpsUsingProxyArg
okhttp,18dfd08aeb50e02da7d3af2723d6ce81bae2502b,com.squareup.okhttp.internal.http.URLConnectionTest,gzipAndConnectionReuseWithFixedLength
okhttp,18dfd08aeb50e02da7d3af2723d6ce81bae2502b,com.squareup.okhttp.internal.http.URLConnectionTest,noTransparentGzipFor304NotModified
okhttp,18dfd08aeb50e02da7d3af2723d6ce81bae2502b,com.squareup.okhttp.internal.http.URLConnectionTest,postFailsWithChunkedRequestForSmallRequest
okhttp,19f83f8d546bed8c91759396b3931ee5a644d95d,com.squareup.okhttp.internal.http.URLConnectionTest,redirectToAnotherOriginServerWithHttps
okhttp,1ad3b6d7499160075f4482b4788a07359ffd7932,com.squareup.okhttp.internal.http.URLConnectionTest,gzipAndConnectionReuseWithFixedLength
okhttp,1ad3b6d7499160075f4482b4788a07359ffd7932,com.squareup.okhttp.internal.http.URLConnectionTest,noTransparentGzipFor304NotModified
okhttp,1b340c0872066fed8c4d3ecd85f53843e860b855,com.squareup.okhttp.AsyncApiTest,canceledBeforeResponseReadIsNeverDelivered
okhttp,1b340c0872066fed8c4d3ecd85f53843e860b855,com.squareup.okhttp.AsyncApiTest,connectionPooling
okhttp,1b340c0872066fed8c4d3ecd85f53843e860b855,com.squareup.okhttp.AsyncApiTest,redirect
okhttp,1c7ab54e6ad964035b2cbb3b0280e4e8bf811d9a,com.squareup.okhttp.AsyncApiTest,conditionalCacheHit
okhttp,1c7ab54e6ad964035b2cbb3b0280e4e8bf811d9a,com.squareup.okhttp.AsyncApiTest,doesNotFollow21Redirects
okhttp,1c7ab54e6ad964035b2cbb3b0280e4e8bf811d9a,com.squareup.okhttp.AsyncApiTest,follow20Redirects
okhttp,1c7ab54e6ad964035b2cbb3b0280e4e8bf811d9a,com.squareup.okhttp.AsyncApiTest,get
okhttp,1dc42da8d6cf1727c118db5eda5ab8094678188f,com.squareup.okhttp.internal.http.URLConnectionTest,postFailsWithChunkedRequestForSmallRequest
okhttp,1dc42da8d6cf1727c118db5eda5ab8094678188f,com.squareup.okhttp.internal.spdy.SpdyConnectionTest,headersOnlyStreamIsClosedAfterReplyHeaders
okhttp,1fd77e07c462d9d077bbd4232b9af8bb4411b41b,com.squareup.okhttp.internal.http.URLConnectionTest,postFailsWithFixedLengthRequestForLargeRequest
okhttp,2267888d365db3462c7d59eb16ad33953554953d,com.squareup.okhttp.AsyncApiTest,conditionalCacheHit
okhttp,2267888d365db3462c7d59eb16ad33953554953d,com.squareup.okhttp.AsyncApiTest,doesNotFollow21Redirects
okhttp,2267888d365db3462c7d59eb16ad33953554953d,com.squareup.okhttp.AsyncApiTest,follow20Redirects
okhttp,2267888d365db3462c7d59eb16ad33953554953d,com.squareup.okhttp.AsyncApiTest,get
okhttp,23774087dbf9876454aa7a6cd3828bc06043bf26,com.squareup.okhttp.SyncApiTest,redirect
okhttp,23774087dbf9876454aa7a6cd3828bc06043bf26,com.squareup.okhttp.internal.http.URLConnectionTest,postFailsWithChunkedRequestForLargeRequest
okhttp,23774087dbf9876454aa7a6cd3828bc06043bf26,com.squareup.okhttp.internal.spdy.SpdyConnectionTest,remoteSendsDataAfterInFinished
okhttp,26b5f35718ef3fc5500b492f43d520fd42606a53,com.squareup.okhttp.internal.spdy.SpdyConnectionTest,serverClosesClientInputStream
okhttp,2d6b3770d9ef3424a12c4c243596a34cc07cbef1,com.squareup.okhttp.internal.http.HttpOverHttp20Draft14Test,readTimeoutOnSlowConnection
okhttp,2f0ab086386f9257efc55b2c2b313275e85151cf,com.squareup.okhttp.internal.http.URLConnectionTest,connectViaHttpProxyToHttpsUsingBadProxyAndHttpResponseCache
okhttp,2f0ab086386f9257efc55b2c2b313275e85151cf,com.squareup.okhttp.internal.http.URLConnectionTest,digestAuthentication
okhttp,2f0ab086386f9257efc55b2c2b313275e85151cf,com.squareup.okhttp.internal.http.URLConnectionTest,response300MultipleChoiceWithPost
okhttp,2f0ab086386f9257efc55b2c2b313275e85151cf,com.squareup.okhttp.internal.spdy.SpdyConnectionTest,peerHttp2ServerZerosCompressionTable
okhttp,326a4b565f0eb15c189754c29fc735b79a0c8835,com.squareup.okhttp.internal.http.URLConnectionTest,connectViaHttpProxyToHttpsUsingBadProxyAndHttpResponseCache
okhttp,326a4b565f0eb15c189754c29fc735b79a0c8835,com.squareup.okhttp.internal.http.URLConnectionTest,gzipAndConnectionReuseWithFixedLength
okhttp,326a4b565f0eb15c189754c29fc735b79a0c8835,com.squareup.okhttp.internal.http.URLConnectionTest,redirectedWithContentLengthHeader
okhttp,34ab38d63613f861f7d14b6f572ac42b57b10b0f,com.squareup.okhttp.internal.http.HttpResponseCacheTest,serverDisconnectsPrematurelyWithNoLengthHeaders
okhttp,34ab38d63613f861f7d14b6f572ac42b57b10b0f,com.squareup.okhttp.internal.http.HttpResponseCacheTest,varyMatchesRemovedRequestHeaderField
okhttp,34ab38d63613f861f7d14b6f572ac42b57b10b0f,com.squareup.okhttp.internal.spdy.SpdyConnectionTest,headersOnlyStreamIsClosedAfterReplyHeaders
okhttp,34ab38d63613f861f7d14b6f572ac42b57b10b0f,com.squareup.okhttp.internal.spdy.SpdyConnectionTest,serverClosesClientInputStream
okhttp,361b391ef4ac36399663a6fdee37cccdbe7713fc,com.squareup.okhttp.internal.DiskLruCacheTest,shrinkMaxSizeEvicts
okhttp,3687bc96c257efbf727b914c318899a09caf20a6,com.squareup.okhttp.internal.http.URLConnectionTest,postFailsWithFixedLengthRequestForLargeRequest
