Project,sha,class_,method
oozie,0492ce4f059641a286b6a258bf6f8f37d32ae94c,org.apache.oozie.service.TestPartitionDependencyManagerEhcache,testEvictionOnTimeToLive
oozie,09d8e5e1de03ccdaab31d901f311e8513bfd7770,org.apache.oozie.service.TestPartitionDependencyManagerEhcache,testEvictionOnTimeToIdle
oozie,09d8e5e1de03ccdaab31d901f311e8513bfd7770,org.apache.oozie.service.TestPartitionDependencyManagerEhcache,testMaxElementsInMemory
oozie,0c7df8c3c511ccd8475eb916e77c2826f841476a,org.apache.oozie.command.coord.TestCoordPushDependencyCheckXCommand,testRequeueOnException
oozie,0c7df8c3c511ccd8475eb916e77c2826f841476a,org.apache.oozie.service.TestPartitionDependencyManagerEhcache,testEvictionOnTimeToLive
oozie,0c7df8c3c511ccd8475eb916e77c2826f841476a,org.apache.oozie.service.TestPartitionDependencyManagerEhcache,testMaxElementsInMemory
oozie,0e9c5900ece1202fdb3ce75548a45fcec1a7486a,org.apache.oozie.command.coord.TestCoordPushDependencyCheckXCommand,testRequeueOnException
oozie,0f24e67bf7733f9f4ad50312f0600aa0d23706dc,org.apache.oozie.client.TestWorkflowClient,testSla
oozie,0f24e67bf7733f9f4ad50312f0600aa0d23706dc,org.apache.oozie.sla.TestSLAEventGeneration,testCoordinatorActionCommands
oozie,125daa8bdf392fb2035c3aaecde7f8221efd25e5,org.apache.oozie.action.TestActionFailover,testFsFailover
oozie,125daa8bdf392fb2035c3aaecde7f8221efd25e5,org.apache.oozie.action.hadoop.TestRerun,testRerun
oozie,125daa8bdf392fb2035c3aaecde7f8221efd25e5,org.apache.oozie.action.oozie.TestSubWorkflowActionExecutor,testConfigNotPropagation
oozie,125daa8bdf392fb2035c3aaecde7f8221efd25e5,org.apache.oozie.action.oozie.TestSubWorkflowActionExecutor,testConfigPropagation
oozie,125daa8bdf392fb2035c3aaecde7f8221efd25e5,org.apache.oozie.action.oozie.TestSubWorkflowActionExecutor,testGetGroupFromParent
oozie,125daa8bdf392fb2035c3aaecde7f8221efd25e5,org.apache.oozie.action.oozie.TestSubWorkflowActionExecutor,testSubWorkflowRecovery
oozie,125daa8bdf392fb2035c3aaecde7f8221efd25e5,org.apache.oozie.action.oozie.TestSubWorkflowActionExecutor,testSubWorkflowStart
oozie,125daa8bdf392fb2035c3aaecde7f8221efd25e5,org.apache.oozie.action.oozie.TestSubWorkflowActionExecutor,testSubworkflowLib
oozie,125daa8bdf392fb2035c3aaecde7f8221efd25e5,org.apache.oozie.client.TestLocalOozie,testWorkflowRun
oozie,125daa8bdf392fb2035c3aaecde7f8221efd25e5,org.apache.oozie.event.TestEventQueue,testQueueOperations
oozie,125daa8bdf392fb2035c3aaecde7f8221efd25e5,org.apache.oozie.service.TestPartitionDependencyManagerEhcache,testEvictionOnTimeToIdle
oozie,13a7ad36eaa28e70284d4a80905b2e730f19c25f,org.apache.oozie.action.TestActionFailover,testFsFailover
oozie,13a7ad36eaa28e70284d4a80905b2e730f19c25f,org.apache.oozie.command.wf.TestActionCheckXCommand,testActionCheckTransientDuringLauncher
oozie,144f6dd7ad9abedecf8130a2eff8bf66839f0468,org.apache.oozie.service.TestPartitionDependencyManagerEhcache,testMaxElementsInMemory
oozie,1a903028345532eeb5b0e6d3081610d49f48d368,org.apache.oozie.service.TestPartitionDependencyManagerEhcache,testEvictionOnTimeToLive
oozie,1a903028345532eeb5b0e6d3081610d49f48d368,org.apache.oozie.service.TestPartitionDependencyManagerEhcache,testMaxElementsInMemory
oozie,23980cae6cf26e48ab0f3100da99763e23660105,org.apache.oozie.command.coord.TestCoordActionInputCheckXCommand,testCoordActionInputCheckXCommandUniqueness
oozie,24fedae651b26b0f5fb980e96f26ae39fc92e89f,org.apache.oozie.command.bundle.TestBundleJobSuspendXCommand,testBundleSuspend2
oozie,264ec14b7e1551ef0147f6072ec068d860cbf2c5,org.apache.oozie.TestActionBean,testAction
oozie,264ec14b7e1551ef0147f6072ec068d860cbf2c5,org.apache.oozie.TestActionBean,testEmptyWriteRead
oozie,264ec14b7e1551ef0147f6072ec068d860cbf2c5,org.apache.oozie.TestActionBean,testFullWriteRead
oozie,264ec14b7e1551ef0147f6072ec068d860cbf2c5,org.apache.oozie.action.TestActionExecutor,testActionExecutor
oozie,264ec14b7e1551ef0147f6072ec068d860cbf2c5,org.apache.oozie.action.email.TestEmailActionExecutor,testSetupMethods
oozie,264ec14b7e1551ef0147f6072ec068d860cbf2c5,org.apache.oozie.action.hadoop.TestHadoopELFunctions,testELFunctionsReturningMapReduceStats
