Project,sha,class_,method
oryx,14b531eb34d4714e7249dfd2998e83ac90815d89,com.cloudera.oryx.app.speed.rdf.RDFSpeedIT,testRDFSpeedClassification
oryx,194fdb5b1d3a50dad75e5b8b395340e2ff151b8b,com.cloudera.oryx.app.mllib.rdf.RDFCategoricalHyperParamTuningIT,testRDF
oryx,36dff07868ff4a7e0c0dcc4f3b7b784320193cf9,com.cloudera.oryx.app.speed.als.ALSSpeedIT,testALSSpeed
oryx,6bd074ae1fa51966a96fb9a38c4ee8fa3d93b484,com.cloudera.oryx.app.speed.rdf.RDFSpeedIT,testRDFSpeedClassification
oryx,6fb2e4a6c17613e9fc1d76a7e992725b89532b4e,com.cloudera.oryx.app.speed.rdf.RDFSpeedIT,testRDFSpeedClassification
oryx,7ab42c4fedc1e71eb93891ab572dda34b44ee325,com.cloudera.oryx.app.pmml.AppPMMLUtilsTest,testExtensionContent
oryx,7ab42c4fedc1e71eb93891ab572dda34b44ee325,com.cloudera.oryx.app.serving.als.BecauseTest,testBecause
oryx,7ab42c4fedc1e71eb93891ab572dda34b44ee325,com.cloudera.oryx.app.serving.als.BecauseTest,testHowMany
oryx,7ab42c4fedc1e71eb93891ab572dda34b44ee325,com.cloudera.oryx.app.serving.als.BecauseTest,testOffset
oryx,7ab42c4fedc1e71eb93891ab572dda34b44ee325,com.cloudera.oryx.app.serving.als.MostActiveUsersTest,testMostPopular
oryx,7ab42c4fedc1e71eb93891ab572dda34b44ee325,com.cloudera.oryx.app.serving.als.MostActiveUsersTest,testRescorer
oryx,7ab42c4fedc1e71eb93891ab572dda34b44ee325,com.cloudera.oryx.app.serving.als.MostPopularItemsTest,testMostPopular
oryx,7ab42c4fedc1e71eb93891ab572dda34b44ee325,com.cloudera.oryx.app.serving.als.MostPopularItemsTest,testRescorer
oryx,7ab42c4fedc1e71eb93891ab572dda34b44ee325,com.cloudera.oryx.app.serving.als.MostSurprisingTest,testHowMany
oryx,7ab42c4fedc1e71eb93891ab572dda34b44ee325,com.cloudera.oryx.app.serving.als.MostSurprisingTest,testMostSurprising
oryx,7ab42c4fedc1e71eb93891ab572dda34b44ee325,com.cloudera.oryx.app.serving.als.MostSurprisingTest,testOffset
oryx,7ab42c4fedc1e71eb93891ab572dda34b44ee325,com.cloudera.oryx.app.serving.als.RecommendTest,testConsiderKnownItems
oryx,7ab42c4fedc1e71eb93891ab572dda34b44ee325,com.cloudera.oryx.app.serving.als.RecommendTest,testHowMany
oryx,7ab42c4fedc1e71eb93891ab572dda34b44ee325,com.cloudera.oryx.app.serving.als.RecommendTest,testOffset
oryx,7ab42c4fedc1e71eb93891ab572dda34b44ee325,com.cloudera.oryx.app.serving.als.RecommendTest,testRecommend
oryx,7ab42c4fedc1e71eb93891ab572dda34b44ee325,com.cloudera.oryx.app.serving.als.RecommendTest,testRescorer
oryx,7ab42c4fedc1e71eb93891ab572dda34b44ee325,com.cloudera.oryx.app.serving.als.RecommendToAnonymousTest,testHowMany
oryx,7ab42c4fedc1e71eb93891ab572dda34b44ee325,com.cloudera.oryx.app.serving.als.RecommendToAnonymousTest,testOffset
