Project,sha,class_,method
spring-boot,1a3b0309b3c9d506f8ca2bdc646c7728af06ffcb,org.springframework.boot.cli.compiler.DependencyCustomizerTests,anyMissingClassesWithMissingClassesPerformsAdd
spring-boot,1a3b0309b3c9d506f8ca2bdc646c7728af06ffcb,org.springframework.boot.cli.compiler.DependencyCustomizerTests,anyMissingClassesWithMixtureOfClassesPerformsAdd
spring-boot,1a3b0309b3c9d506f8ca2bdc646c7728af06ffcb,org.springframework.boot.cli.compiler.DependencyCustomizerTests,basicAdd
spring-boot,2696d370971964e20a78a24d0e05378d4beffe80,org.springframework.boot.cli.ReproIntegrationTests,dataJpaDependencies
spring-boot,2696d370971964e20a78a24d0e05378d4beffe80,org.springframework.boot.cli.TestCommandIntegrationTests,appAndTestsInOneFile
spring-boot,2696d370971964e20a78a24d0e05378d4beffe80,org.springframework.boot.cli.TestCommandIntegrationTests,appInOneFileTestsInAnotherFile
spring-boot,2696d370971964e20a78a24d0e05378d4beffe80,org.springframework.boot.cli.TestCommandIntegrationTests,empty
spring-boot,2696d370971964e20a78a24d0e05378d4beffe80,org.springframework.boot.cli.TestCommandIntegrationTests,noFile
spring-boot,2696d370971964e20a78a24d0e05378d4beffe80,org.springframework.boot.cli.TestCommandIntegrationTests,noTests
spring-boot,2696d370971964e20a78a24d0e05378d4beffe80,org.springframework.boot.cli.TestCommandIntegrationTests,spockAndJunitTester
spring-boot,2696d370971964e20a78a24d0e05378d4beffe80,org.springframework.boot.cli.TestCommandIntegrationTests,spockTester
spring-boot,2696d370971964e20a78a24d0e05378d4beffe80,org.springframework.boot.cli.TestCommandIntegrationTests,verifyFailures
spring-boot,27cbf45dbe8b3cd6464dda650cdc6a691d6c0954,org.springframework.boot.autoconfigure.orm.jpa.HibernateJpaAutoConfigurationTests,testNamingStrategyThatWorkedInOneDotOhContinuesToWork
spring-boot,48d651c7531ae32afb14ab68c365264e9104eff9,org.springframework.boot.autoconfigure.orm.jpa.HibernateJpaAutoConfigurationTests,testNamingStrategyThatWorkedInOneDotOhContinuesToWork
spring-boot,504de8a7c82145bbd36019d511c138687588f23a,org.springframework.boot.cli.SampleIntegrationTests,appSample
spring-boot,58d660d10d7abb5fe2ea502b6c538714bede62ea,org.springframework.boot.cli.DirectorySourcesIntegrationTests,runDirectory
spring-boot,58d660d10d7abb5fe2ea502b6c538714bede62ea,org.springframework.boot.cli.DirectorySourcesIntegrationTests,runDirectoryRecursive
spring-boot,58d660d10d7abb5fe2ea502b6c538714bede62ea,org.springframework.boot.cli.DirectorySourcesIntegrationTests,runPathPattern
spring-boot,5946a44b7b4da9967c8bdffc991ba06b7099887c,org.springframework.boot.cli.ClassLoaderIntegrationTests,runWithIsolatedClassLoader
spring-boot,5946a44b7b4da9967c8bdffc991ba06b7099887c,org.springframework.boot.cli.GrabCommandIntegrationTests,customMetadata
spring-boot,5946a44b7b4da9967c8bdffc991ba06b7099887c,org.springframework.boot.cli.GrabCommandIntegrationTests,duplicateGrabMetadataAnnotationsProducesAnError
spring-boot,5946a44b7b4da9967c8bdffc991ba06b7099887c,org.springframework.boot.cli.command.install.InstallerTests,installAndUninstall
spring-boot,5946a44b7b4da9967c8bdffc991ba06b7099887c,org.springframework.boot.cli.command.install.InstallerTests,installAndUninstallWithCommonDependencies
spring-boot,5946a44b7b4da9967c8bdffc991ba06b7099887c,org.springframework.boot.cli.command.install.InstallerTests,installNewDependency
spring-boot,5946a44b7b4da9967c8bdffc991ba06b7099887c,org.springframework.boot.cli.command.install.InstallerTests,uninstallAll
spring-boot,68571ee535d302101c38cc2c57f166b6d62afa5d,org.springframework.boot.cli.TestCommandIntegrationTests,appAndTestsInOneFile
spring-boot,68571ee535d302101c38cc2c57f166b6d62afa5d,org.springframework.boot.cli.TestCommandIntegrationTests,appInOneFileTestsInAnotherFile
spring-boot,68571ee535d302101c38cc2c57f166b6d62afa5d,org.springframework.boot.cli.TestCommandIntegrationTests,empty
spring-boot,68571ee535d302101c38cc2c57f166b6d62afa5d,org.springframework.boot.cli.TestCommandIntegrationTests,noTests
spring-boot,68571ee535d302101c38cc2c57f166b6d62afa5d,org.springframework.boot.cli.TestCommandIntegrationTests,spockTester
