Project,sha,class_,method,Found
jackrabbit-oak,1af0f7ab20a86b03e1409d515e55e1e435bfef21,org.apache.jackrabbit.oak.run.osgi.DocumentNodeStoreConfigTest,testRDBDocumentStore_CustomBlobDataSource,0
jackrabbit-oak,31c58b3749d50e87cb717f7f01f762f37dde66b1,org.apache.jackrabbit.oak.jcr.security.authorization.ReadTest,testGlobRestriction2,1
jackrabbit-oak,31c58b3749d50e87cb717f7f01f762f37dde66b1,org.apache.jackrabbit.oak.jcr.security.authorization.ReadTest,testGlobRestriction3,1
jackrabbit-oak,5c2bbae7cdeebed5ccc2a0d6c9211c34b0c67c94,org.apache.jackrabbit.oak.plugins.segment.standby.BrokenNetworkTest,testProxyFlippedIntermediateByteSSL,0
jackrabbit-oak,5c2bbae7cdeebed5ccc2a0d6c9211c34b0c67c94,org.apache.jackrabbit.oak.plugins.segment.standby.BrokenNetworkTest,testProxyFlippedStartByte,0
jackrabbit-oak,5e7129a36da1b040194b2f898e342e518da2f85d,org.apache.jackrabbit.oak.plugins.blob.CompositeDataStoreCacheTest,invalidateStaging,1
jackrabbit-oak,66ea2666b1e08a0fcf01484f1aec3d97b37c894e,org.apache.jackrabbit.oak.jcr.JackrabbitNodeTest,testRename,1
jackrabbit-oak,66ea2666b1e08a0fcf01484f1aec3d97b37c894e,org.apache.jackrabbit.oak.jcr.JackrabbitNodeTest,testRenameEventHandling,1
jackrabbit-oak,6de1bd2eee805a859fcad0f87a9cf704c132a22e,org.apache.jackrabbit.oak.plugins.document.rdb.RDBDocumentSerializerTest,testBlobAndDiff,1
jackrabbit-oak,6de1bd2eee805a859fcad0f87a9cf704c132a22e,org.apache.jackrabbit.oak.plugins.document.rdb.RDBDocumentSerializerTest,testBlobAndDiffBorked,1
jackrabbit-oak,6de1bd2eee805a859fcad0f87a9cf704c132a22e,org.apache.jackrabbit.oak.plugins.document.rdb.RDBDocumentSerializerTest,testSimpleBlob,1
jackrabbit-oak,6de1bd2eee805a859fcad0f87a9cf704c132a22e,org.apache.jackrabbit.oak.plugins.document.rdb.RDBDocumentSerializerTest,testSimpleBoth,1
jackrabbit-oak,6de1bd2eee805a859fcad0f87a9cf704c132a22e,org.apache.jackrabbit.oak.plugins.document.rdb.RDBDocumentSerializerTest,testSimpleString,1
jackrabbit-oak,6de1bd2eee805a859fcad0f87a9cf704c132a22e,org.apache.jackrabbit.oak.plugins.document.rdb.RDBDocumentSerializerTest,testSimpleStringNonAscii,1
jackrabbit-oak,7a4b513abb1aaed4c3fe1cb4c9a8fa7e31468b7e,org.apache.jackrabbit.oak.plugins.observation.CommitRateLimiterTest,blockCommits,1
jackrabbit-oak,80d320cae5dd39a2188f7ee66044da23e747dbcb,org.apache.jackrabbit.oak.plugins.blob.CompositeDataStoreCacheTest,add,1
jackrabbit-oak,83a9e86c5913dae30103b31bfacd5654dff201f4,org.apache.jackrabbit.oak.jcr.security.authorization.ReadTest,testGlobRestriction2,1
jackrabbit-oak,83a9e86c5913dae30103b31bfacd5654dff201f4,org.apache.jackrabbit.oak.jcr.security.authorization.ReadTest,testGlobRestriction3,1
jackrabbit-oak,8d43c9f9c73e2729a280785092f2b95863b66601,org.apache.jackrabbit.oak.run.osgi.DocumentNodeStoreConfigTest,testRDBDocumentStore_CustomBlobStore,0
jackrabbit-oak,938009b6c1ba8640007fe827cf166e4afa71b435,org.apache.jackrabbit.oak.plugins.segment.failover.FailoverTest,testFailover,0
jackrabbit-oak,a567971d5a1ea2787cf949d87c75c9b2b297d93b,org.apache.jackrabbit.oak.plugins.document.rdb.RDBDocumentSerializerTest,testBlobAndDiff,1
jackrabbit-oak,a567971d5a1ea2787cf949d87c75c9b2b297d93b,org.apache.jackrabbit.oak.plugins.document.rdb.RDBDocumentSerializerTest,testBlobAndDiffBorked,1
jackrabbit-oak,a567971d5a1ea2787cf949d87c75c9b2b297d93b,org.apache.jackrabbit.oak.plugins.document.rdb.RDBDocumentSerializerTest,testBrokenJSONTrailingComma,1
jackrabbit-oak,a567971d5a1ea2787cf949d87c75c9b2b297d93b,org.apache.jackrabbit.oak.plugins.document.rdb.RDBDocumentSerializerTest,testBrokenJSONUnquotedIdentifier,1
jackrabbit-oak,a567971d5a1ea2787cf949d87c75c9b2b297d93b,org.apache.jackrabbit.oak.plugins.document.rdb.RDBDocumentSerializerTest,testSimpleBlob,1
jackrabbit-oak,a567971d5a1ea2787cf949d87c75c9b2b297d93b,org.apache.jackrabbit.oak.plugins.document.rdb.RDBDocumentSerializerTest,testSimpleBlob2,1
jackrabbit-oak,a567971d5a1ea2787cf949d87c75c9b2b297d93b,org.apache.jackrabbit.oak.plugins.document.rdb.RDBDocumentSerializerTest,testSimpleBoth,1
jackrabbit-oak,a567971d5a1ea2787cf949d87c75c9b2b297d93b,org.apache.jackrabbit.oak.plugins.document.rdb.RDBDocumentSerializerTest,testSimpleString,1
jackrabbit-oak,a567971d5a1ea2787cf949d87c75c9b2b297d93b,org.apache.jackrabbit.oak.plugins.document.rdb.RDBDocumentSerializerTest,testSimpleStringNonAscii,1
jackrabbit-oak,a567971d5a1ea2787cf949d87c75c9b2b297d93b,org.apache.jackrabbit.oak.plugins.index.nodetype.NodeTypeIndexTest,nodeType,1
jackrabbit-oak,befa5004d7b7c100430faed88511402410c5649c,org.apache.jackrabbit.oak.run.osgi.LuceneSupportTest,fullTextSearch,0
jackrabbit-oak,d2730876af2de7e6789285516abdd3c0b934592f,org.apache.jackrabbit.oak.run.osgi.ConfigTest,testFileConfig,0
jackrabbit-oak,ecabae849fc0049b845cd1d0a1f2bd0b9eab8315,org.apache.jackrabbit.oak.jcr.observation.ObservationRefreshTest,observation[0],0
jackrabbit-oak,f9f99a9f1e9ed66276ce7f8fcc91f77d2abdb984,org.apache.jackrabbit.oak.plugins.document.DocumentDiscoveryLiteServiceTest,testLargeStartStopFiesta,1
