Project,sha,class_,method,Found
ninja,00532264cae2d912aa595596aa52d27761328255,controllers.ApiControllerDocTest,testGetAndPostArticleViaJson,2
ninja,00532264cae2d912aa595596aa52d27761328255,controllers.ApiControllerTest,testGetAndPostArticleViaJson,2
ninja,00532264cae2d912aa595596aa52d27761328255,controllers.ApiControllerTest,testGetAndPostArticleViaXml,2
ninja,00532264cae2d912aa595596aa52d27761328255,controllers.ApplicationControllerTest,testThatSetupInitializationCreatesTheTestUsers,1
ninja,03d71eaaa2a20ff759d8f0c21a44a0f2990b8777,controllers.ApiControllerDocTesterTest,testGetAndPostArticleViaJson,1
ninja,0b3aa4dbf20d444841ebea229c8031b5b431ef52,controllers.ApplicationControllerTest,testThatHomepageWorks,2
ninja,0f28e024199abe59769434c46c312adeef2fe326,controllers.ApplicationControllerTest,testThatHomepageWorks,2
ninja,1058f0352bab1b9eb5bf16507562068f82e4c628,controllers.ApplicationControllerTest,testThatHomepageWorks,2
ninja,1158fcd3b3887da37a4fb793f15b78f3090a3ddb,controllers.ApplicationControllerTest,testThatHomepageWorks,2
ninja,28d0b5f692d1e73e62ff9556d2dea1e4560d6bc7,conf.RoutesTest,testReverseRoutingWithArrayAndWrongAmountOfQueryParameters,1
ninja,28d0b5f692d1e73e62ff9556d2dea1e4560d6bc7,conf.RoutesTest,testReverseRoutingWithMap,1
ninja,28d0b5f692d1e73e62ff9556d2dea1e4560d6bc7,conf.RoutesTest,testReverseRoutingWithoutMap,1
ninja,28d0b5f692d1e73e62ff9556d2dea1e4560d6bc7,conf.RoutesTest,testRoutes,1
ninja,28d0b5f692d1e73e62ff9556d2dea1e4560d6bc7,conf.RoutesTest,testTestRoutesAreHiddenFromProduction,1
ninja,28d0b5f692d1e73e62ff9556d2dea1e4560d6bc7,controllers.ApiControllerDocTest,testGetAndPostArticleViaJson,1
ninja,28d0b5f692d1e73e62ff9556d2dea1e4560d6bc7,controllers.ApiControllerDocTesterTest,testGetAndPostArticleViaJson,2
ninja,28d0b5f692d1e73e62ff9556d2dea1e4560d6bc7,controllers.ApiControllerTest,testGetAndPostArticleViaJson,2
ninja,28d0b5f692d1e73e62ff9556d2dea1e4560d6bc7,controllers.ApiControllerTest,testGetAndPostArticleViaXml,2
ninja,28d0b5f692d1e73e62ff9556d2dea1e4560d6bc7,controllers.ApplicationControllerFluentLeniumTest,testThatHomepageWorks,2
ninja,28d0b5f692d1e73e62ff9556d2dea1e4560d6bc7,controllers.AssetsControllerTest,testThatAssetsWork,1
ninja,28d0b5f692d1e73e62ff9556d2dea1e4560d6bc7,controllers.AssetsControllerTest,testThatMetaInfIntegrationWorks,1
ninja,28d0b5f692d1e73e62ff9556d2dea1e4560d6bc7,controllers.AssetsControllerTest,testThatSettingOfMimeTypeWorks,1
