Project,sha,class_,method,Found
okhttp,027618dfdc25f28018286864ddf0eee5950d1c41,com.squareup.okhttp.CacheTest,clientPrematureDisconnectWithNoLengthHeaders,1
okhttp,027618dfdc25f28018286864ddf0eee5950d1c41,com.squareup.okhttp.CacheTest,clientSuppliedConditionWithoutCachedResult,1
okhttp,027618dfdc25f28018286864ddf0eee5950d1c41,com.squareup.okhttp.CacheTest,maxAgeInTheFutureWithDateHeader,1
okhttp,027618dfdc25f28018286864ddf0eee5950d1c41,com.squareup.okhttp.CacheTest,noDefaultExpirationForUrlsWithQueryString,1
okhttp,02ee75d0381728a24b9fd4de3aa5455e6eedc9d0,com.squareup.okhttp.internal.http.URLConnectionTest,noTransparentGzipFor304NotModified,1
okhttp,02ee75d0381728a24b9fd4de3aa5455e6eedc9d0,com.squareup.okhttp.internal.http.URLConnectionTest,postFailsWithFixedLengthRequestForLargeRequest,1
okhttp,02ee75d0381728a24b9fd4de3aa5455e6eedc9d0,com.squareup.okhttp.internal.http.URLConnectionTest,response300MultipleChoiceWithPost,1
okhttp,04e530ad0b75f05f057e5990a631578eb0fcdc2c,com.squareup.okhttp.internal.http.HttpOverHttp20Draft16Test,readTimeoutOnSlowConnection,1
okhttp,04e530ad0b75f05f057e5990a631578eb0fcdc2c,com.squareup.okhttp.internal.http.URLConnectionTest,postFailsWithFixedLengthRequestForLargeRequest,1
okhttp,050eb79163c2ab185461baf9cdb307cfb7d26a91,com.squareup.okhttp.internal.http.URLConnectionTest,postFailsWithChunkedRequestForLargeRequest,1
okhttp,087348c2c70abaa50f119d608b19d13210bcc3c0,com.squareup.okhttp.internal.spdy.SpdyConnectionTest,serverClosesClientInputStream,1
okhttp,09bb8bcd0db29bc96ca9b771e06e5f8055d9f46a,com.squareup.okhttp.internal.http.URLConnectionTest,connectViaHttpProxyToHttpsUsingBadProxyAndHttpResponseCache,1
okhttp,09bb8bcd0db29bc96ca9b771e06e5f8055d9f46a,com.squareup.okhttp.internal.huc.ResponseCacheTest,cacheControlNoCacheAndExpirationDateInTheFuture,1
