Project,sha,class_,method,Found
spring-boot,1a3b0309b3c9d506f8ca2bdc646c7728af06ffcb,org.springframework.boot.cli.compiler.DependencyCustomizerTests,anyMissingClassesWithMissingClassesPerformsAdd,2
spring-boot,1a3b0309b3c9d506f8ca2bdc646c7728af06ffcb,org.springframework.boot.cli.compiler.DependencyCustomizerTests,anyMissingClassesWithMixtureOfClassesPerformsAdd,2
spring-boot,1a3b0309b3c9d506f8ca2bdc646c7728af06ffcb,org.springframework.boot.cli.compiler.DependencyCustomizerTests,basicAdd,2
spring-boot,2696d370971964e20a78a24d0e05378d4beffe80,org.springframework.boot.cli.ReproIntegrationTests,dataJpaDependencies,2
spring-boot,2696d370971964e20a78a24d0e05378d4beffe80,org.springframework.boot.cli.TestCommandIntegrationTests,appAndTestsInOneFile,1
spring-boot,2696d370971964e20a78a24d0e05378d4beffe80,org.springframework.boot.cli.TestCommandIntegrationTests,appInOneFileTestsInAnotherFile,1
spring-boot,2696d370971964e20a78a24d0e05378d4beffe80,org.springframework.boot.cli.TestCommandIntegrationTests,empty,1
spring-boot,2696d370971964e20a78a24d0e05378d4beffe80,org.springframework.boot.cli.TestCommandIntegrationTests,noFile,1
spring-boot,2696d370971964e20a78a24d0e05378d4beffe80,org.springframework.boot.cli.TestCommandIntegrationTests,noTests,1
spring-boot,2696d370971964e20a78a24d0e05378d4beffe80,org.springframework.boot.cli.TestCommandIntegrationTests,spockAndJunitTester,1
spring-boot,2696d370971964e20a78a24d0e05378d4beffe80,org.springframework.boot.cli.TestCommandIntegrationTests,spockTester,1
spring-boot,2696d370971964e20a78a24d0e05378d4beffe80,org.springframework.boot.cli.TestCommandIntegrationTests,verifyFailures,1
spring-boot,27cbf45dbe8b3cd6464dda650cdc6a691d6c0954,org.springframework.boot.autoconfigure.orm.jpa.HibernateJpaAutoConfigurationTests,testNamingStrategyThatWorkedInOneDotOhContinuesToWork,1
spring-boot,48d651c7531ae32afb14ab68c365264e9104eff9,org.springframework.boot.autoconfigure.orm.jpa.HibernateJpaAutoConfigurationTests,testNamingStrategyThatWorkedInOneDotOhContinuesToWork,1
spring-boot,504de8a7c82145bbd36019d511c138687588f23a,org.springframework.boot.cli.SampleIntegrationTests,appSample,1
spring-boot,58d660d10d7abb5fe2ea502b6c538714bede62ea,org.springframework.boot.cli.DirectorySourcesIntegrationTests,runDirectory,2
spring-boot,58d660d10d7abb5fe2ea502b6c538714bede62ea,org.springframework.boot.cli.DirectorySourcesIntegrationTests,runDirectoryRecursive,2
spring-boot,58d660d10d7abb5fe2ea502b6c538714bede62ea,org.springframework.boot.cli.DirectorySourcesIntegrationTests,runPathPattern,2
spring-boot,5946a44b7b4da9967c8bdffc991ba06b7099887c,org.springframework.boot.cli.ClassLoaderIntegrationTests,runWithIsolatedClassLoader,2
spring-boot,5946a44b7b4da9967c8bdffc991ba06b7099887c,org.springframework.boot.cli.GrabCommandIntegrationTests,customMetadata,2
spring-boot,5946a44b7b4da9967c8bdffc991ba06b7099887c,org.springframework.boot.cli.GrabCommandIntegrationTests,duplicateGrabMetadataAnnotationsProducesAnError,1
spring-boot,5946a44b7b4da9967c8bdffc991ba06b7099887c,org.springframework.boot.cli.command.install.InstallerTests,installAndUninstall,2
spring-boot,5946a44b7b4da9967c8bdffc991ba06b7099887c,org.springframework.boot.cli.command.install.InstallerTests,installAndUninstallWithCommonDependencies,2
spring-boot,5946a44b7b4da9967c8bdffc991ba06b7099887c,org.springframework.boot.cli.command.install.InstallerTests,installNewDependency,2
spring-boot,5946a44b7b4da9967c8bdffc991ba06b7099887c,org.springframework.boot.cli.command.install.InstallerTests,uninstallAll,2
spring-boot,68571ee535d302101c38cc2c57f166b6d62afa5d,org.springframework.boot.cli.TestCommandIntegrationTests,appAndTestsInOneFile,1
spring-boot,68571ee535d302101c38cc2c57f166b6d62afa5d,org.springframework.boot.cli.TestCommandIntegrationTests,appInOneFileTestsInAnotherFile,1
spring-boot,68571ee535d302101c38cc2c57f166b6d62afa5d,org.springframework.boot.cli.TestCommandIntegrationTests,empty,1
spring-boot,68571ee535d302101c38cc2c57f166b6d62afa5d,org.springframework.boot.cli.TestCommandIntegrationTests,noTests,1
spring-boot,68571ee535d302101c38cc2c57f166b6d62afa5d,org.springframework.boot.cli.TestCommandIntegrationTests,spockTester,1
spring-boot,68571ee535d302101c38cc2c57f166b6d62afa5d,org.springframework.boot.cli.TestCommandIntegrationTests,verifyFailures,1
spring-boot,6a18ece6a2dd497a5651f6dac009729d359b048c,org.springframework.boot.cli.compiler.grape.AetherGrapeEngineTests,dependencyResolution,2
spring-boot,6a18ece6a2dd497a5651f6dac009729d359b048c,org.springframework.boot.cli.compiler.grape.AetherGrapeEngineTests,dependencyResolutionWithCustomClassLoader,2
spring-boot,6a18ece6a2dd497a5651f6dac009729d359b048c,org.springframework.boot.cli.compiler.grape.AetherGrapeEngineTests,dependencyResolutionWithExclusions,2
spring-boot,6d9abdc8ca6a84c1f40cd9fa55137b5ca7023113,org.springframework.boot.cli.command.CommandRunnerIntegrationTests,debugAddsAutoconfigReport,1
spring-boot,6d9abdc8ca6a84c1f40cd9fa55137b5ca7023113,org.springframework.boot.cli.compiler.DependencyCustomizerTests,allMissingClassesWithNoMissingClassesDoesNotPerformAdd,2
spring-boot,6d9abdc8ca6a84c1f40cd9fa55137b5ca7023113,org.springframework.boot.cli.compiler.DependencyCustomizerTests,anyMissingClassesWithNoMissingClassesDoesNotPerformAdd,2
spring-boot,6d9abdc8ca6a84c1f40cd9fa55137b5ca7023113,org.springframework.boot.cli.compiler.DependencyCustomizerTests,nonTransitiveAdd,2
spring-boot,6df001d30f6a53436872d8a583a26fe322d74b43,org.springframework.boot.cli.util.ResourceUtilsTests,directoryOfFiles,2
spring-boot,6df001d30f6a53436872d8a583a26fe322d74b43,org.springframework.boot.cli.util.ResourceUtilsTests,directoryOfFilesWithPrefix,2
spring-boot,6df001d30f6a53436872d8a583a26fe322d74b43,org.springframework.boot.cli.util.ResourceUtilsTests,duplicateResource,2
spring-boot,6df001d30f6a53436872d8a583a26fe322d74b43,org.springframework.boot.cli.util.ResourceUtilsTests,explicitClasspathResource,2
spring-boot,6df001d30f6a53436872d8a583a26fe322d74b43,org.springframework.boot.cli.util.ResourceUtilsTests,explicitClasspathResourceWithSlash,2
spring-boot,6df001d30f6a53436872d8a583a26fe322d74b43,org.springframework.boot.cli.util.ResourceUtilsTests,nonexistentClasspathResource,2
spring-boot,6df001d30f6a53436872d8a583a26fe322d74b43,org.springframework.boot.cli.util.ResourceUtilsTests,recursiveFiles,2
spring-boot,6df001d30f6a53436872d8a583a26fe322d74b43,org.springframework.boot.cli.util.ResourceUtilsTests,recursiveFilesByPattern,2
spring-boot,6df001d30f6a53436872d8a583a26fe322d74b43,org.springframework.boot.cli.util.ResourceUtilsTests,recursiveFilesByPatternWithPrefix,2
spring-boot,7e5bb9697c0c0b64e05e6d77810c74477873c903,org.springframework.boot.cli.SampleIntegrationTests,appSample,1
spring-boot,7e5bb9697c0c0b64e05e6d77810c74477873c903,org.springframework.boot.cli.SampleIntegrationTests,caching,2
spring-boot,7e5bb9697c0c0b64e05e6d77810c74477873c903,org.springframework.boot.cli.SampleIntegrationTests,integrationSample,2
spring-boot,7e5bb9697c0c0b64e05e6d77810c74477873c903,org.springframework.boot.cli.SampleIntegrationTests,jmsSample,2
spring-boot,7e5bb9697c0c0b64e05e6d77810c74477873c903,org.springframework.boot.cli.SampleIntegrationTests,jobSample,2
spring-boot,7e5bb9697c0c0b64e05e6d77810c74477873c903,org.springframework.boot.cli.SampleIntegrationTests,reactorSample,1
