Project,sha,class_,method,Found
wro4j,08ba7e56a7159513e71af88fa58319143765dcde,ro.isdc.wro.maven.plugin.TestWro4jMojo,shouldBeFasterWhenRunningProcessingInParallel,1
wro4j,0c059ed0bfa793f6fe31d598b178795312c18887,ro.isdc.wro.extensions.http.handler.TestModelAsJsonRequestHandler,shouldGenerateModelAsJson,1
wro4j,0ecb877a530cd85a4f6eeeb3e1c4102d9a6e4c50,ro.isdc.wro.maven.plugin.TestWro4jMojo,shouldBeFasterWhenRunningProcessingInParallel,1
wro4j,0f0e9e0b0d256e7183d27aeccd9830cc100de77b,ro.isdc.wro.model.resource.processor.TestCssImportPreProcessor,testFromFolder,1
wro4j,18f56b7c62b198b2805e57aa6ff8c10195bed848,ro.isdc.wro.maven.plugin.TestWro4jMojo,shouldBeFasterWhenRunningProcessingInParallel,1
wro4j,1b99da43e921bb0d54a44e7920a1886618267db2,ro.isdc.wro.maven.plugin.TestWro4jMojo,shouldBeFasterWhenRunningProcessingInParallel,1
wro4j,22deea3bdaef56fa74a823a3d3e6f5834981e4fd,ro.isdc.wro.http.TestWroContextFilter,shouldNotLeakContextForNestedRequest,1
wro4j,26fa5752a4dc1688af1bde577f5e69deafcf9c8b,ro.isdc.wro.maven.plugin.TestWro4jMojo,shouldBeFasterWhenRunningProcessingInParallel,1
wro4j,2919044d8365208d193f1120391f4beb0b84d1e4,ro.isdc.wro.maven.plugin.TestWro4jMojo,shouldBeFasterWhenRunningProcessingInParallel,1
wro4j,2cf93f8d8c61acbec210abaf1cf2df8f8845e7e4,ro.isdc.wro.model.group.processor.TestPreProcessorExecutor,preProcessingInParallelIsFaster,1
wro4j,2f3dc582f9006a6d78f01d6a0cf78d8f1d5e0616,ro.isdc.wro.cache.support.TestDefaultSynchronizedCacheStrategyDecorator,shouldNotWatchForChangeUnlessCheckCompleted,1
wro4j,31a89a6dda76638c9f969cfbbfd75c740b967152,ro.isdc.wro.maven.plugin.TestWro4jMojo,shouldBeFasterWhenRunningProcessingInParallel,1
wro4j,327857b5a5d11fb8acba51cb39726700abd3186a,ro.isdc.wro.cache.support.TestDefaultSynchronizedCacheStrategyDecorator,shouldNotWatchForChangeUnlessCheckCompleted,1
wro4j,3c57810d9783cb2c84d6a1c9ee529764960dab7d,ro.isdc.wro.extensions.processor.TestBourbonCssProcessor,shouldBeThreadSafe,1
wro4j,3c57810d9783cb2c84d6a1c9ee529764960dab7d,ro.isdc.wro.extensions.processor.TestRubySassCssProcessor,executeMultipleTimesDoesntThrowOutOfMemoryException,1
wro4j,3c57810d9783cb2c84d6a1c9ee529764960dab7d,ro.isdc.wro.extensions.processor.TestRubySassCssProcessor,shouldBeThreadSafe,1
wro4j,3c57810d9783cb2c84d6a1c9ee529764960dab7d,ro.isdc.wro.extensions.processor.TestRubySassCssProcessor,shouldSucceedAfterAFailure,1
wro4j,3c57810d9783cb2c84d6a1c9ee529764960dab7d,ro.isdc.wro.extensions.processor.support.sass.TestRubySassEngine,shouldProcessValidCss,1
wro4j,3c57810d9783cb2c84d6a1c9ee529764960dab7d,ro.isdc.wro.extensions.processor.support.sass.TestRubySassEngine,shouldProcessValidSass,1
wro4j,44cf0babafe9676de15191b7621e9d0070167b82,ro.isdc.wro.maven.plugin.TestWro4jMojo,shouldBeFasterWhenRunningProcessingInParallel,1
